gene_id	LAU125_TPM	LAU125_FPKM	LAU355_TPM	LAU355_FPKM	LAU1255_TPM	LAU1255_FPKM	LAU1314_TPM	LAU1314_FPKM
ENSG00000010361	6.7	4.97	4.97	4.41	9.06	8.37	3.23	2.78
ENSG00000010379	0	0	0.1	0.09	0.06	0.05	0	0
ENSG00000010404	30.44	22.58	104.12	92.35	63.78	58.93	105.62	90.94
ENSG00000010438	0	0	0	0	0	0	0	0
ENSG00000010539	5.19	3.85	6.28	5.57	2.59	2.39	7.4	6.37
ENSG00000010610	4.52	3.36	110.27	97.81	38.05	35.16	74.95	64.53
ENSG00000010626	20.59	15.28	5.5	4.88	9.5	8.78	4.23	3.64
ENSG00000010671	3.39	2.52	125.16	111.02	18.47	17.07	144.42	124.34
ENSG00000010704	13.98	10.37	4.88	4.33	6.94	6.41	5.43	4.67
ENSG00000010803	24.09	17.87	11.86	10.52	11.33	10.47	11.61	10
ENSG00000010810	110.14	81.71	152.09	134.91	109.58	101.25	142.94	123.07
ENSG00000010818	3.9	2.9	31.51	27.95	7.1	6.56	23.22	19.99
ENSG00000010932	0.07	0.05	0.39	0.34	0.04	0.04	0.31	0.26
ENSG00000011007	74.7	55.41	17.15	15.21	21.74	20.09	21.66	18.65
ENSG00000011009	46.27	34.33	28.05	24.88	24.47	22.61	33.73	29.04
ENSG00000011021	24.71	18.33	10.58	9.38	5.39	4.98	7.6	6.54
ENSG00000011028	0.09	0.07	0.52	0.46	0.88	0.81	0.57	0.49
ENSG00000011052	267.03	198.1	191.79	170.13	294.89	272.48	192.04	165.35
ENSG00000011083	0	0	0	0	0.09	0.08	0	0
ENSG00000011105	29.68	22.02	0.06	0.06	5.46	5.04	0.64	0.55
ENSG00000011114	10.39	7.71	11.98	10.62	6.13	5.67	11.1	9.55
ENSG00000011132	0.87	0.64	2.91	2.58	1.41	1.3	3.28	2.83
ENSG00000011143	6.78	5.03	3.26	2.89	3.29	3.04	2.82	2.43
ENSG00000011198	12.7	9.42	4.43	3.93	12.24	11.31	5.59	4.81
ENSG00000011201	11.86	8.8	0.16	0.14	3.9	3.61	0.17	0.14
ENSG00000011243	35.52	26.35	34.52	30.62	25.81	23.84	27.49	23.67
ENSG00000011258	9.42	6.99	13.15	11.67	4.16	3.84	11.32	9.75
ENSG00000011260	39.75	29.49	32.99	29.27	29.26	27.04	38.08	32.79
ENSG00000011275	22.98	17.05	19.55	17.34	12.13	11.21	19.75	17
ENSG00000011295	30.43	22.58	16.68	14.79	14.3	13.21	13.42	11.55
ENSG00000011304	34.13	25.32	43.11	38.24	33.01	30.5	53.21	45.81
ENSG00000011332	2.03	1.5	0.07	0.06	1.04	0.96	0.26	0.22
ENSG00000011347	0.98	0.73	0.02	0.02	0.06	0.05	0.02	0.02
ENSG00000011376	20.12	14.93	11.34	10.06	13.96	12.9	13.52	11.64
ENSG00000011405	27.05	20.07	9.09	8.06	7.37	6.81	8.51	7.33
ENSG00000011422	8.48	6.29	9.92	8.8	50.9	47.03	6.37	5.49
ENSG00000011426	91.46	67.85	4.5	3.99	19.45	17.97	8.82	7.59
ENSG00000011451	3.62	2.69	2.33	2.07	3.33	3.07	2.59	2.23
ENSG00000011454	21.75	16.13	24.23	21.5	11	10.17	25.62	22.06
ENSG00000011465	3.21	2.38	0.1	0.09	0.45	0.42	0.07	0.06
ENSG00000011478	3.46	2.57	3.52	3.12	4.96	4.58	2.27	1.96
ENSG00000011485	63.09	46.8	23.49	20.84	35.82	33.1	30.96	26.66
