"AGENE","CD56NK","CD4MemoryT","CD19B","CD14"
"AC008753.6",0.0027895694,0.0009329446,0.0002384927,0.000408998
"AC008781.7",0.0001212856,0,0,0
"AC008937.2",0,0.0001166181,0,0
"AC008937.3",0,0,0,0
"AC008948.1",0.0003638569,0,0,0
"AC008964.1",0.0007277138,0.0019825073,0,0
"AC009005.2",0.0013341419,0.0008163265,0.0010732173,0.0061349693
"AC009065.1",0.0012128563,0.0009329446,0.0008347245,0.0008179959
"AC009095.4",0.0001212856,0,0,0
"AC009120.10",0.0007277138,0,0.0002384927,0
"AC009120.4",0.0003638569,0,0.0001192464,0
"AC009120.6",0.0016979988,0.0009329446,0.0014309564,0.0008179959
"AC009133.12",0.0010915706,0.0006997085,0.0008347245,0
"AC009133.14",0.0031534263,0.00303207,0.0004769855,0.0016359918
"AC009133.15",0.0003638569,0.0005830904,0.0002384927,0
"AC009133.17",0.0024257126,0.0006997085,0.0003577391,0
"AC009133.20",0.0002425713,0,0.0001192464,0
"AC009228.1",0.0008489994,0.0002332362,0.0001192464,0
"AC009276.4",0,0,0,0
"AC009299.2",0.0001212856,0,0,0
"AC009299.3",0.000970285,0.0024489796,0.0020271882,0.000408998
"AC009303.1",0.0001212856,0,0.0001192464,0
"AC009312.1",0,0.0002332362,0,0
"AC009336.24",0,0,0,0
"AC009403.2",0.0126137053,0.0086297376,0.0119246363,0.0057259714
"AC009404.2",0.0010915706,0.0013994169,0.0014309564,0.0008179959
"AC009473.1",0.0030321407,0.001516035,0.0014309564,0
"AC009480.3",0.0002425713,0.0001166181,0.0001192464,0
"AC009495.2",0.0063068526,0,0.0004769855,0
"AC009495.4",0.0004851425,0,0,0
"AC009499.1",0.0001212856,0,0,0
"AC009501.4",0.0006064281,0.0003498542,0,0
"AC009505.2",0,0.0001166181,0,0
"AC009506.1",0.0014554275,0,0.0003577391,0.0069529652
"AC009784.3",0.0004851425,0.0002332362,0,0
"AC009948.5",0.0020618557,0.001516035,0.0010732173,0
"AC009950.2",0.0002425713,0.0001166181,0.0008347245,0
"AC009961.3",0.0023044269,0.0020991254,0.0007154782,0.0020449898
"AC009965.2",0,0,0,0
"AC010082.2",0,0,0.0002384927,0
"AC010127.3",0,0,0,0
"AC010226.4",0.0036385688,0.0016326531,0.0165752445,0.0036809816
"AC010327.2",0.0003638569,0.0002332362,0,0
"AC010336.1",0.0015767132,0.0010495627,0.0009539709,0
"AC010441.1",0.0003638569,0.0001166181,0,0.0008179959
"AC010504.2",0.0001212856,0.0001166181,0.0001192464,0.000408998
"AC010524.2",0,0,0.0001192464,0
"AC010536.1",0.0003638569,0,0,0
"AC010547.9",0.0004851425,0.0001166181,0.0001192464,0
"AC010642.1",0.1075803517,0.050845481,0.0491295016,0.0302658487
"AC010733.4",0.0001212856,0,0.0001192464,0
"AC010746.3",0.0002425713,0.0004664723,0.0001192464,0
"AC010761.13",0.0001212856,0,0.0001192464,0
"AC010761.14",0,0.0001166181,0,0
"AC010761.6",0,0,0.0001192464,0.000408998
"AC010761.8",0.0015767132,0.0024489796,0.0009539709,0.0008179959
"AC010761.9",0,0,0,0.000408998
"AC010883.5",0.00194057,0.0038483965,0.0046506082,0.0053169734
"AC010884.1",0.0001212856,0,0,0
"AC010894.3",0.0014554275,0.0005830904,0.0005962318,0.0012269939
"AC010894.5",0.0003638569,0.0001166181,0,0
"AC010976.2",0.0001212856,0,0,0.000408998
"AC010982.1",0.000970285,0.0005830904,0.0003577391,0
"AC011043.1",0.0027895694,0,0,0
"AC011247.3",0,0,0,0
"AC011298.2",0.0001212856,0,0,0
"AC011484.1",0.0002425713,0.0017492711,0.0004769855,0.000408998
"AC011523.2",0.0001212856,0,0,0
"AC011526.1",0,0.0002332362,0.0001192464,0
"AC011551.3",0,0,0.0001192464,0
"AC011558.5",0.0003638569,0.0003498542,0.0001192464,0.000408998
"AC011747.3",0,0.0001166181,0,0.000408998
"AC011747.4",0.0001212856,0,0,0.000408998
"AC011747.7",0.0003638569,0.0002332362,0,0.0012269939
"AC011752.1",0.0001212856,0,0,0
"AC011841.1",0.0004851425,0.0006997085,0.0003577391,0
"AC011893.3",0,0,0,0
"AC011899.9",0,0,0.0001192464,0.009406953
"AC011997.1",0.0001212856,0.0001166181,0,0
"AC012065.7",0,0.0002332362,0.0003577391,0
"AC012074.2",0.0001212856,0.0002332362,0,0
"AC012123.1",0,0,0.0017886954,0
"AC012307.2",0,0.0001166181,0,0
"AC012309.5",0.0003638569,0,0.0011924636,0
"AC012314.8",0.0001212856,0.0001166181,0,0
"AC012358.8",0.0053365676,0.0023323615,0.0032196518,0
"AC012360.4",0.0063068526,0.0018658892,0.00262342,0.0020449898
"AC012363.4",0,0,0,0
"AC012368.1",0,0,0.0001192464,0
"AC012442.6",0.0002425713,0.0003498542,0.0001192464,0
"AC012457.2",0,0,0,0
"AC012487.2",0.0002425713,0.0002332362,0,0.0008179959
"AC012506.4",0,0,0,0
"AC012507.4",0.0001212856,0,0,0
"AC013264.2",0.0018192844,0.0490962099,0.0014309564,0
"AC013448.1",0,0,0,0
"AC013449.1",0.0010915706,0.0016326531,0.0009539709,0.0016359918
"AC015691.13",0.0001212856,0,0.0002384927,0
"AC015849.12",0.0001212856,0,0,0
"AC015849.16",0,0.0001166181,0,0
"AC015849.19",0.0002425713,0,0.0002384927,0
"AC015849.2",0.0008489994,0.0017492711,0,0
"AC015922.6",0,0,0,0
"AC015969.3",0.0004851425,0,0.0001192464,0
"AC015971.2",0.0004851425,0,0.0001192464,0.0016359918
"AC015987.1",0,0,0,0
"AC015987.2",0.0021831413,0.0006997085,0.00131171,0.0008179959
"AC016586.1",0.0026682838,0.0012827988,0.0008347245,0.0032719836
"AC016629.8",0.0154032747,0.0032653061,0.0127593608,0.0032719836
"AC016683.5",0.0023044269,0.0003498542,0.0015502027,0
"AC016700.2",0,0,0,0
"AC016700.5",0.0033959976,0.001516035,0.0008347245,0.0024539877
"AC016722.3",0,0,0.0001192464,0
"AC016722.4",0,0,0,0
"AC016723.4",0,0.0001166181,0,0
"AC016735.2",0.0002425713,0,0,0
"AC016735.3",0,0,0,0
"AC016738.4",0,0,0,0
"AC016757.3",0.0116434203,0.0044314869,0.0051275936,0.0024539877
