"AABleh","cytotoxic.CD56.dim.NK.cell","memory.CD4.pos.AB.T.cell","memory.B.cell","CD14.pos.CD16.neg.classical.monocyte"
"NF1",10.9699285714,11.8347142857,7.806,10.2364571429
"MRE11",10.3387857142,5.1441428572,10.586,9.0107714286
"GPAA1",28.5135714286,11.8238571429,17.1797142857,12.5320857143
"CDAN1",3.3505714286,3.2831428572,3.4975714286,2.1970285714
"IL5RA",0.18,2.1682142857,0.5051428571,0.0355714286
"ST3GAL6-AS1",0,0,0,0.0709142857
"FAM133B",15.4717142857,19.7602142857,17.6032857143,17.6502571429
"KCNK13",0,0,0,1.4237142857
"NCAPD2",23.0960714285,14.6261428572,13.9174285714,9.1890285714
"NCAPD3",9.4594285715,9.3441428572,4.8851428571,5.1883428572
"BLM",4.7408571429,1.7895714286,4.1737142857,0.7862857143
"PPP1R10",55.7941428572,36.0964285715,41.2092857143,50.2533142857
"MMACHC",0.4535714286,0.2808571429,0.4554285714,0.2108857143
"BLK",0.1874285715,0.3472857143,176.058,0.1115142857
"HCK",0.0771428571,0.0237142858,26.3285714286,169.456628571
"ZNF672",9.5364285715,6.2312142857,13.2205714286,8.1924571429
"OR2L1P",0.1651428572,0.2311428572,0.0568571429,0.0168
"C7orf25",1.2354285714,0.7928571429,1.0454285714,0.7984285714
"C7orf26",15.7632857143,12.6669285715,13.9031428571,9.1483714286
"TCN1",0,0,0,0.0652857143
"TCN2",0.0961428572,0.3054285715,0.0294285714,8.006
"ZNF426",4.255,2.9308571429,3.4707142857,2.3198857143
"ERVK3-1",31.4644285715,29.2231428572,35.7418571429,15.6828571429
"SIRPB2",0,0,0,38.6915428571
"ZNF420",5.8052857143,7.234,5.6454285714,1.4404285714
"SIRPB1",0.0325714286,0.4819285715,0.6591428571,40.0529428571
"ATXN7",13.5264285714,27.3785714286,11.0428571429,16.2258285714
"ATXN2",11.4823571429,6.7217142857,8.1265714286,8.8646857143
"ATXN3",8.3352857143,10.1878571429,8.0905714286,18.4309142857
"ZNF428",22.1054285714,16.4944285714,10.688,4.6918
"ATXN1",12.9681428571,20.1797857143,5.9585714286,20.4373142857
"EFHD2",245.125714286,16.9008571429,21.048,109.084971429
"SOAT1",10.2677142857,9.2592142857,4.9057142857,20.6860285714
"SNORA47",588.934571429,276.3452857145,474.334285714,2065.17205714
"SRGAP1",0,0,0,0.2356571428
"SRGAP3",0.3328571429,0.229,0.538,1.4808
"SRGAP2",5.8112857143,5.4752142857,8.6125714286,30.4066571429
"CCDC189",0.7787142857,0.3792857143,0.829,2.7640571428
"EFHD1",0.0389285714,0.2052857143,0,0
"CCDC180",2.7858571429,3.4068571429,4.0867142857,0.5791142857
"CCDC183",0.3488571429,0.2550714286,0.2834285714,0.1238857143
"AP1AR",4.5887857143,6.4391428572,5.6151428571,6.6495428571
"GPRC5C",0.1847857143,0.0351428572,0.1791428571,0.4332285714
"GPRC5B",0,0.1587142857,0,0.0057142857
"NEDD8",98.2068571429,101.8565000002,90.3148571429,71.1572
"NEDD9",45.5091428571,21.8905,36.5485714286,38.3465714286
"SCLT1",24.6847857143,7.3801428572,9.5502857143,26.5447428571
"PRH1-PRR4",0.305,0.3256428572,0.5708571429,0.0812
"P2RY14",0.0734285715,1.2475714286,0.602,0.1602571429
"NEDD1",11.9012142857,12.0464285715,5.2177142857,5.4638857143
"SMC3",19.9382857143,22.683,12.2781428571,12.3725142857
"SMC2",5.9107142858,2.9255,2.6481428571,1.8016571429
"NEDD4",1.2882142857,2.0045,0.0294285714,1.1673428571
"P2RY11",14.0953571429,5.894,2.9452857143,1.9806
"P2RY12",0.0394285715,0.0861428571,0.0814285714,0.8447714286
"P2RY13",0.0787857143,0,0,28.3440285714
"IFI44L",0.8370714286,9.9755,6.9094285714,12.2221428571
"GARNL3",0.7121428572,0.6501428572,2.274,0.6002285714
"SFR1",3.9808571429,3.108,2.5494285714,6.1008571428
"AREL1",17.1398571428,9.1157142857,7.1,15.5908
"PIK3IP1",53.7251428572,229.242285714,49.5214285714,17.7526571428
"STYX",9.606,25.3849285715,7.5942857143,8.6910285714
"STK32B",0.0202857143,0,0,0.6787714286
"LEPR",0.9398571429,1.0225,0.2905714286,1.3803428571
"CPOX",4.0716428572,5.5832857143,2.4807142857,5.3634571429
"LTB",9.9586428571,454.4937142855,395.880857143,4.4925142857
"LTA",0.5625,2.4096428572,0.9851428571,0.0258285714
"GRIPAP1",12.1204285714,11.2482857143,16.8772857143,17.0210285714
"LTF",0.045,0,0,0.0156571429
"LOC400927-CSNK1E",20.2930714286,17.8829285715,18.5151428571,7.9360285714
"ALG10",2.1909285714,2.3214285714,1.7468571429,1.3867714286
"ALG11",5.1042142857,4.7723571429,4.4102857143,3.1891428571
"ALG12",4.5061428572,4.1596428572,2.6365714286,3.9426285714
"ALG13",12.7712142857,21.948,43.3954285714,20.9682285714
"ALG14",0.5992142858,0.5635714286,0.8495714286,0.4882
"OFD1",24.9893571429,28.8842857143,37.8002857143,4.2010285714
"RIOK2",7.8005714286,9.9505,4.9528571429,6.0485714286
"RIOK3",38.7354285715,29.9117857143,23.9522857143,54.4423714286
"RIOK1",6.6069285714,7.2583571429,10.4851428571,6.3907142857
"LTV1",6.0123571429,7.3255714286,9.2844285714,7.0155142857
"MICALL1",6.4474285714,4.6298571429,5.5317142857,3.4013142857
"MICALL2",0.3172142857,0.7091428572,0.105,0.8774571429
"BANF1",34.884,16.1733571429,27.206,16.7101142857
"TAS2R50",0.6282857143,0.6417142858,1.3462857143,0.5122571428
"PLA2G12A",1.7334285715,1.7982857143,0.7674285714,1.6190857143
"ARL8B",18.204,23.6,20.4828571429,37.6306571429
"YBEY",6.1138571429,7.6854285715,18.1897142857,3.5215714286
"ARL8A",15.6362142857,13.9494285714,17.1482857143,26.5220571429
"NOXA1",0.6977142857,0.7373571429,0.6894285714,1.7243714286
"TTC7B",0.4524285715,0.2701428571,0.3004285714,1.2118571429
"TTC7A",5.1000714286,10.7820714286,37.3422857143,45.9100285714
"C1orf61",0.9052857143,0.7781428572,0,2.0974571428
"GYG1",24.7099285714,8.7288571429,8.5362857143,20.4761714286
