,"Neutrophils","T_cells_Gamma_Delta","Monocytes","Macrophages","T_cells_CD4.","Fibroblasts","Vascular_Endothelial_Cells","Keratinocytes","Blood_CD34._cells","Platelets"
"MMP1",11.109611447,9.6775095137,22.204837892,35.5325169782,10.7330120866,1535.0671637778,804.4773238,272.8463400089,12.5329200262,925.9719294222
"MMP10",13.4899768089,12.6617034667,24.7582562869,33.4970002237,13.3016173278,21.7819247696,89.1313375189,70.9436253,14.67957415,14.1214273411
"MMP11",52.9602806711,41.3834356493,45.7343209527,43.329322952,44.1481843096,44.7537637842,41.6760536536,37.8007353609,39.6757471304,64.0975741086
"MMP12",14.472300764,22.7174893756,13.7452812991,154.6552847233,14.7187013833,31.0639036093,12.3140149133,16.2055604936,14.0387374431,13.6287535202
"MMP13",17.2854425291,14.9154095424,16.9341551382,16.088409026,15.2448756618,16.6329028069,13.6151519149,15.8624214996,16.0650552869,17.7927806656
"MMP14",118.8741894311,67.599334391,149.5357528667,200.24145878,72.809552892,294.4664195056,130.4745062311,125.7883826956,67.4417962616,153.4693186844
"MMP15",32.2873758956,32.5386648133,30.391146564,29.4818243313,30.9522409236,31.7994212826,39.7552392864,33.8418314283,29.5215547128,30.8644008838
"MMP16",15.4488523407,15.3439536868,15.0863785442,14.6876702966,14.461223236,30.5654950188,35.4750517577,13.8244799867,14.7274188138,16.3553523538
"MMP17",74.2286393671,62.8157363562,72.2675313442,58.6560082084,51.5599390987,74.5858707062,59.6913145131,58.0294335878,48.7534495288,83.8606273856
"MMP19",81.7283793504,47.748184326,163.4813169333,279.5413213978,51.7258856696,113.3716795844,52.7003848388,48.2040746031,51.2336014096,101.5197069433
"MMP2",31.1725675953,24.810638564,29.6949125434,33.6950623862,24.8276311836,118.9031963511,41.2903946342,27.8629750828,32.5320103762,29.0224729724
"MMP20",10.2014268207,9.5559672624,10.0943871843,10.2914802266,9.9245804497,9.7584971907,9.8420128837,9.7170910213,9.7848030197,9.9016004765
"MMP21",9.6041067679,10.1668442514,10.0654347684,9.8531846281,9.9942996341,9.7750126224,10.2928523378,10.0447769314,9.7081003184,9.574450678
"MMP24",78.1024549049,62.1853854133,73.0111505994,64.7099205312,59.3917410844,83.0230837022,68.0151699733,66.6190730527,55.2593213006,117.5086496022
"MMP25",453.4526235489,90.64605978,89.2308071589,63.585683842,70.3432594702,48.5593363453,46.0180620744,48.6587774367,52.1103325636,145.6825470667
