"gene_symbol","B_cells","NK_cells","T_cells_CD4.","Monocytes"
"NEB",20.820969,17.023876,14.7456,15.186609
"NEBL",17.023876,17.230801,17.850625,20.205025
"NECAB1",10.4329,10.093329,9.9225,10.374841
"NECAB2",35.808256,36.336784,39.075001,39.075001
"NECAB3",40.398736,42.497361,44.809636,43.731769
"NECAP1",65.237929,71.031184,67.7329,73.770921
"NECAP2",90.954369,85.5625,102.070609,96.569929
"NEDD1",54.893281,63.393444,57.927321,42.055225
"NEDD4",18.792225,33.1776,33.802596,30.846916
"NEDD4L",29.680704,23.377225,23.921881,27.342441
"NEDD8",93.779856,98.307225,94.400656,95.472441
"NEDD9",38.452401,47.761921,38.415204,39.551521
"NEFH",19.219456,24.9001,25.482304,26.584336
"NEFL",13.942756,14.992384,25.796241,15.1321
"NEFM",16.589329,16.670889,18.515809,17.098225
"NEGR1",12.6025,13.017664,12.313081,13.675204
"NEIL1",49.364676,39.627025,37.344321,37.687321
"NEIL2",44.715969,33.977241,39.237696,29.419776
"NEIL3",18.369796,25.1001,22.287841,16.418704
"NEK1",33.1776,34.739236,30.702681,25.250625
"NEK10",25.694761,22.033636,23.9121,26.265625
"NEK11",22.648081,23.242041,25.090081,23.2324
"NEK2",19.918369,28.751044,23.174596,14.645929
"NEK3",32.080896,24.176889,27.415696,31.460881
"NEK4",33.2929,36.711481,33.8724,34.503876
"NEK6",33.108516,28.708164,28.068804,37.124649
"NEK7",81.631225,100.120036,96.2361,91.2025
"NEK8",61.653904,47.872561,47.169424,42.276004
"NEK9",44.715969,40.793769,44.809636,42.172036
"NELF",42.081169,41.525136,42.419169,43.151761
"NELL1",17.867529,18.181696,17.8084,18.173169
"NELL2",29.909961,39.1876,93.450889,34.963569
"NENF",42.758521,38.378025,42.784681,44.595684
"NEO1",23.697424,28.259856,28.270489,23.126481
"NES",25.694761,23.551609,26.327161,27.815076
"NET1",42.3801,54.922921,55.5025,34.857216
"NETO1",18.2329,14.160169,13.549761,14.032516
"NETO2",34.245904,26.635921,36.084049,51.351556
"NEU1",50.381604,55.175184,48.385936,69.655716
"NEU2",27.973521,24.910081,25.715041,28.890625
"NEU3",27.931225,27.447121,28.015849,31.158724
"NEU4",40.513225,36,38.118276,43.850884
"NEURL",26.646244,24.790441,25.8064,29.300569
"NEURL1B",23.107249,29.441476,28.815424,28.440889
"NEURL2",25.331089,22.335076,27.102436,25.290841
"NEURL3",36.857041,36.168196,41.370624,43.191184
"NEURL4",45.265984,38.675961,41.499364,40.335201
"NEUROD1",13.337104,13.868176,13.719616,13.307904
"NEUROD2",27.751824,27.804529,27.300625,28.772496
"NEUROD4",19.088161,19.633761,19.210689,20.684304
"NEUROD6",22.061809,24.591681,23.377225,24.4036
"NEUROG1",23.078416,21.307456,22.581504,23.001616
"NEUROG2",13.2496,11.943936,12.616704,12.988816
"NEUROG3",18.181696,16.499844,17.3056,18.610596
"NEXN",24.880144,23.755876,18.974736,32.353344
"NF1",25.623844,27.583504,25.050025,26.040609
"NF2",22.061809,22.676644,21.762225,21.576025
"NFAM1",42.029289,39.601849,41.254929,65.642404
"NFASC",23.454649,20.566225,22.591009,23.687689
"NFAT5",55.026724,60.699681,49.070025,52.823824
"NFATC1",55.577025,38.626225,49.406841,46.7856
"NFATC2",46.362481,53.377636,49.674304,27.384289
"NFATC2IP",66.618244,70.8964,69.039481,56.896849
"NFATC3",63.504961,73.702225,65.221776,50.183056
"NFATC4",30.272004,29.387241,29.517489,31.979025
"NFE2",17.330569,17.255716,17.774656,51.638596
"NFE2L1",70.56,69.3889,68.608089,73.290721
"NFE2L2",42.732369,51.151104,44.342281,57.942544
"NFE2L3",18.361225,25.331089,26.142769,27.217089
"NFE4",16.289296,17.572864,16.933225,19.351201
"NFIA",17.413929,18.861649,23.580736,22.221796
"NFIB",17.065161,16.112196,17.073424,16.941456
"NFIC",37.540129,39.388176,41.126569,48.246916
"NFIL3",45.616516,101.304225,56.927025,89.453764
"NFIX",27.709696,26.050816,27.531009,29.658916
"NFKB1",82.81,82.174225,79.637776,95.609284
"NFKB2",34.550884,29.724304,29.408929,35.904064
"NFKBIA",123.121216,143.448529,123.609924,147.1369
"NFKBIB",55.086084,54.863649,48.4416,52.722121
"NFKBID",47.265625,34.187409,32.160241,43.112356
"NFKBIE",71.385601,58.110129,52.736644,73.153809
"NFKBIL1",43.8244,39.137536,40.742689,45.037521
"NFKBIL2",30.041361,27.552001,30.316036,30.272004
"NFKBIZ",92.775424,99.660289,92.794689,117.007489
"NFRKB",39.501225,37.687321,41.899729,37.234404
"NFS1",35.569296,35.988001,40.144896,33.327529
"NFU1",76.755121,79.423744,71.757841,56.355049
"NFX1",55.249489,39.677401,43.520409,36.978561
"NFXL1",42.706225,45.981961,47.692836,45.859984
"NFYA",35.295481,34.762816,34.409956,35.533521
"NFYB",34.845409,40.081561,36.493681,31.933801
"NFYC",44.462224,39.275289,40.386025,48.525156
"NGB",36.397089,33.977241,34.869025,34.9281
"NGDN",53.626329,51.179716,50.794129,43.705321
"NGEF",17.598025,17.4724,17.438976,18.1476
"NGF",31.438449,26.193924,29.582721,32.205625
"NGFR",22.458121,21.187609,21.827584,22.762441
"NGFRAP1",45.657049,46.963609,95.550625,65.836996
"NGLY1",89.965225,71.182969,73.908409,58.9824
"NGRN",72.4201,66.4225,70.442449,64.304361
"NHEDC1",16.532356,14.371681,14.455204,13.344409
"NHEDC2",41.744521,34.987225,38.464804,27.867841
"NHEG1",20.367169,20.912329,20.775364,21.224449
"NHEJ1",48.011041,47.004736,51.969681,48.330304
"NHLH1",38.8129,34.363044,38.031889,40.3225
"NHLH2",16.305444,14.6689,15.952036,15.936064
"NHLRC2",23.7169,21.846276,20.575296,19.873764
"NHLRC3",34.621456,38.887696,33.686416,32.855824
"NHLRC4",44.448889,46.430596,48.566961,48.455521
"NHP2",101.2036,94.965025,101.626561,86.638864
"NHP2L1",72.012196,68.145025,72.267001,63.457156
"NHS",14.417209,15.555136,16.4836,23.658496
"NHSL1",24.671089,23.677956,24.344356,28.323684
"NHSL2",19.989841,21.548164,22.137025,25.331089
"NICN1",60.202081,57.851236,55.413136,47.997184
"NID1",19.8916,20.232004,19.210689,40.475044
"NID2",14.953689,17.926756,16.345849,17.707264
"NIF3L1",76.2129,69.039481,79.156609,60.964864
"NIN",49.7025,39.037504,39.325441,40.972801
"NINJ1",46.457856,62.315236,64.513024,105.781225
"NINJ2",37.613689,44.395569,43.375396,53.860921
"NINL",33.166081,34.292736,32.3761,26.245129
"NIP7",53.670276,64.352484,56.160036,45.0241
"NIPA1",36.096064,29.181604,31.674384,22.071204
"NIPA2",82.9921,74.960964,69.906321,74.356129
"NIPAL1",21.911761,20.196036,21.141604,21.520321
"NIPAL2",36.336784,30.647296,27.1441,31.114084
"NIPAL3",40.386025,41.036836,46.199209,33.212169
"NIPAL4",40.030929,33.489369,35.533521,40.335201
"NIPBL",65.415744,69.856164,62.331025,64.336441
"NIPSNAP1",57.426084,59.351616,62.948356,50.296464
"NIPSNAP3A",52.027369,64.064016,52.243984,67.947049
"NIPSNAP3B",25.431849,15.752961,13.734436,16.581184
"NISCH",66.389904,61.246276,66.683556,60.310756
"NIT1",42.575625,39.1876,41.332041,44.129449
"NIT2",74.960964,69.588964,68.89,54.878464
"NKAIN1",27.373824,26.091664,27.363361,28.6225
"NKAIN2",12.6736,12.96,12.759184,12.666481
"NKAIN3",15.578809,15.21,15.642025,15.968016
"NKAIN4",22.972849,22.791076,23.020804,24.472809
"NKAP",56.055169,56.7009,55.577025,51.509329
"NKAPL",16.313521,15.3664,15.21,18.028516
"NKAPP1",27.625536,28.419561,25.938649,23.551609
"NKD1",30.902481,27.699169,31.270464,29.637136
"NKD2",32.080896,29.8116,31.114084,32.615521
"NKG7",30.969225,146.192281,47.293129,52.867441
