CD56NK	CD4MemoryT	CD19B	CD14
V645	0.35315	0.39901	0.24784	0
V646	0.04604	0.95396	0	0
V647	0.24155	0.07605	0.6824	0
V648	0.51333	0.41614	0.07054	0
V649	0.10564	0.06354	0.83082	0
V650	0.14156	0.08648	0.77196	0
V651	0.38692	0	0.61308	0
V652	0.17108	0.07665	0.52931	0.22296
V653	0.21391	0.71749	0.0686	0
V654	0.84559	0.15441	0	0
V655	0.09208	0.69284	0	0.21508
V656	0.31934	0.29511	0	0.38555
V657	0	0.01162	0.04613	0.94225
V658	0.76921	0.17988	0.0125	0.03841
V659	0.47025	0.0546	0.39481	0.08034
V660	0.07163	0.92837	0	0
V661	0.1142	0.52799	0.03604	0.32177
V662	0.52934	0	0.47066	0
V663	0.35956	0.04838	0.59206	0
V664	0.30087	0.0452	0.65393	0
V665	0.85559	0.14441	0	0
V666	0.76519	0	0.03532	0.19948
V667	0.92121	0	0.07879	0
V668	0.18735	0.80023	0.01241	0
V669	0.33842	0.4338	0.22777	0
V670	0.12801	0.87199	0	0
V671	0.48848	0.28	0.23152	0
V672	0.09138	0.02758	0.88104	0
V673	0.34478	0.40309	0.22028	0.03184
V674	0.89805	0.07528	0	0.02667
V675	0.23045	0.36377	0.33662	0.06915
V676	0.0341	0.09483	0.17331	0.69776
V677	0.51307	0.4215	0.06025	0.00518
V678	0.59839	0.40161	0	0
V679	0.10365	0.322	0.57435	0
V680	0.39178	0.53753	0.07068	0
V681	1	0	0	0
V682	0.1851	0.30736	0.50754	0
V683	0.04511	0.95489	0	0
V684	0.85226	0.11175	0.03599	0
V685	0.60613	0.32591	0.06796	0
V686	0.16411	0.19842	0.18688	0.4506
V687	0	0	0.02681	0.97319
V688	0.48973	0.51027	0	0
V689	0.33202	0	0.01845	0.64953
V690	0.59375	0	0.40625	0
V691	0.23428	0	0.76572	0
V692	0.16416	0.13859	0.69725	0
V693	0.35879	0.08934	0.41792	0.13395
V694	0	0	0.41495	0.58505
V695	0.33824	0	0.17243	0.48932
V696	0.09178	0.04195	0.04231	0.82396
V697	0	0	0.034	0.966
V698	0.95811	0	0	0.04189
V699	0.71065	0.27178	0.01756	0
V700	0.30481	0	0	0.69519
V701	0.20366	0.60296	0.09383	0.09956
V702	0.75222	0	0	0.24778
V703	0.23789	0.0249	0.56983	0.16738
V704	0.9851	0	0	0.0149
V705	1	0	0	0
V706	0.17359	0.04314	0.78327	0
V707	0.0933	0.45399	0.45271	0
V708	0.09745	0.90255	0	0
V709	0.22029	0.27905	0.50066	0
V710	0.77476	0.17869	0.00047	0.04608
V711	0.15891	0.80451	0.03658	0
