CD56NK	CD4MemoryT	CD19B	CD14
V607	0.83006	0	0.16994	0
V608	0.32595	0.18146	0.49259	0
V609	0.18151	0.25292	0.48066	0.08491
V610	0.89126	0	0.10874	0
V611	0.45759	0	0.16333	0.37908
V612	0.07962	0.18833	0.73205	0
V613	0.09587	0.33973	0.56439	0
V614	0.91741	0	0.08259	0
V615	0.2379	0	0.21813	0.54397
V616	0.2239	0.57241	0.20368	0
V617	0.48944	0.14553	0.36502	0
V618	1	0	0	0
V619	0.51791	0.02079	0.4613	0
V620	0.10791	0.53202	0.36008	0
V621	0.57926	0.11527	0.30547	0
V622	0.39067	0.20728	0.40205	0
V623	0.1161	0.00985	0.46394	0.41012
V624	0.89193	0.10807	0	0
V625	0.38027	0.40648	0.21325	0
V626	1	0	0	0
V627	0	0	0.33995	0.66005
V628	0.11625	0.18499	0.29707	0.40169
V629	0.27138	0.29928	0.42933	0
V630	0.09985	0.33772	0.56242	0
V631	0.15361	0.16818	0.38809	0.29013
V632	0.78095	0	0.21905	0
V633	0.04753	0.16078	0.7917	0
V634	0.42433	0.22306	0.35261	0
V635	0.17656	0.64481	0.17863	0
V636	0.17159	0.18502	0.64339	0
V637	0.53647	0.17406	0.26092	0.02855
V638	0.5776	0.20752	0.21487	0
V639	0.32267	0.35981	0.31752	0
V640	0.0981	0.21276	0.68914	0
V641	1	0	0	0
V642	0.89778	0.08876	0.01346	0
V643	0.13388	0.24506	0.62107	0
V644	1	0	0	0
V645	0.3135	0.35944	0.32706	0
V646	0.11397	0.75455	0.13148	0
V647	0.1852	0.16388	0.65093	0
V648	0.46374	0.34405	0.19221	0
V649	0.07418	0.17759	0.74822	0
V650	0.10838	0.17852	0.71309	0
V651	0.32545	0.05295	0.6216	0
V652	0.22305	0.15775	0.6192	0
V653	0.24618	0.5245	0.22932	0
V654	0.7556	0.13691	0.10749	0
V655	0.25632	0.53142	0.21226	0
V656	0.43897	0.24649	0.18695	0.12759
V657	0.0422	0	0.28739	0.67041
V658	0.71378	0.13772	0.1485	0
V659	0.41962	0.10526	0.47512	0
V660	0.13288	0.73991	0.12722	0
V661	0.26617	0.43679	0.26218	0.03486
V662	0.44373	0.03461	0.52166	0
V663	0.28665	0.1169	0.59644	0
V664	0.23742	0.12742	0.63516	0
V665	0.77408	0.13076	0.09516	0
V666	0.82622	0	0.1659	0.00788
V667	0.81039	0.01285	0.17676	0
V668	0.21875	0.60529	0.17597	0
V669	0.32264	0.35197	0.32539	0
V670	0.1815	0.69659	0.12191	0
V671	0.4335	0.24843	0.31807	0
V672	0.04983	0.16571	0.78446	0
V673	0.33602	0.33218	0.3318	0
V674	0.85342	0.07165	0.07493	0
V675	0.2452	0.31555	0.43925	0
V676	0.14166	0.05105	0.41184	0.39545
V677	0.47781	0.32934	0.19285	0
V678	0.58365	0.36391	0.05244	0
V679	0.09863	0.32699	0.57438	0
V680	0.36243	0.43955	0.19802	0
V681	1	0	0	0
V682	0.16463	0.3048	0.53057	0
V683	0.11251	0.75634	0.13115	0
V684	0.75825	0.10648	0.13527	0
V685	0.53652	0.27371	0.18977	0
V686	0.2703	0.19105	0.36278	0.17587
V687	0	0	0.24495	0.75505
V688	0.50068	0.40937	0.08995	0
V689	0.39442	0	0.16517	0.4404
V690	0.48941	0.0602	0.45039	0
V691	0.177	0.10707	0.71593	0
V692	0.13459	0.19708	0.66833	0
