CD56NK	CD4MemoryT	CD19B	CD14
V395	0.22185	0.33504	0.20449	0.23862
V396	0.00858	0.9571	0.00497	0.02935
V397	0.80314	0.053	0.09974	0.04412
V398	0.43542	0.08651	0.09087	0.3872
V399	0.19927	0.51154	0.1542	0.135
V400	3e-05	0.51622	0.05717	0.42659
V401	0.03156	0.10798	0.76166	0.0988
V402	0.82255	0.14368	0.03377	0
V403	0.01638	0.00611	0.06027	0.91724
V404	0.08672	0.14339	0.64545	0.12444
V405	0.19422	0.0115	0.15033	0.64396
V406	0.66029	0.20122	0.0158	0.12269
V407	0.00154	0.98405	0.00561	0.0088
V408	0.08436	0.18382	0.40337	0.32845
V409	0.00501	0.00465	0.01678	0.97356
V410	0.09119	0.85375	0.0268	0.02826
V411	0.39718	0	0	0.60282
V412	0.1487	0.03952	0.49593	0.31585
V413	0.05178	0.42371	0.18067	0.34384
V414	0.03137	0.45949	0.34538	0.16376
V415	0.42546	0.01076	0.22105	0.34273
V416	0.00859	0.05015	0.94058	0.00068
V417	0.4045	0.58429	0.00472	0.00648
V418	0.05844	0.05957	0.1259	0.75609
V419	0.01207	0	0.02324	0.96469
V420	0.00062	0.86977	0.01038	0.11923
V421	0.15128	0.01652	0.68969	0.14251
V422	0.03599	0.03319	0.00617	0.92464
V423	0.07847	0.00497	0.8878	0.02876
V424	0	0.02327	0.60018	0.37655
V425	0.05245	0.18393	0.62588	0.13774
V426	0.08567	0.01952	0.81051	0.0843
V427	0.06238	0.32905	0.18846	0.42011
V428	0.08942	0.74921	0.05115	0.11022
V429	0.01143	0	0.03141	0.95716
V430	0.77248	0.12536	0.01578	0.08638
V431	0.16638	0.00763	0.43562	0.39038
V432	0.08949	0.05402	0.03942	0.81707
V433	0.05419	0.68296	0	0.26285
V434	0.30737	0.04278	0.04453	0.60532
V435	0.47673	0.00146	0.11258	0.40923
V436	0.34631	0.00144	0.10423	0.54802
V437	0.21045	0.17077	0.00172	0.61706
V438	0.60901	0.11286	0.02923	0.24891
