Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V178	0.1846	0.00481	0	0.02435	0.10926	0.58418	0.0414	0	0.01784	0.03355
V179	0.16215	0	0.00826	0	0.81952	0	0.00406	0	0.00601	0
V180	0.4218	0.07029	0.01737	0.40985	0.04839	0	0.01498	0	0.01731	0
V181	0	0.09677	0.76821	0	0.05877	0	0.07023	0	0.00602	0
V182	0.00266	0	0	0.02923	0.32209	0	0	0.59525	0.05077	0
V183	0	0.09826	0.0608	0.68872	0.03925	0.00211	0.0906	0	0.02026	0
V184	0.17348	0.00979	0	0.00853	0.04866	0.56198	0.03412	0.03612	0.02052	0.10681
V185	0.55572	0	0	0.22054	0.0099	0	0.01104	0.11831	0.08429	0.00021
V186	0.81841	0.00052	0	0.11248	0.03463	0	0.02448	0	0.00949	0
V187	0.72069	0	0.10981	0	0.02333	0	0.02309	0	0.09712	0.02595
V188	0.08783	0.0502	0.0144	0.05537	0.7628	0	0.01168	0	0.01501	0.00272
V189	0.86095	0	0	0.07343	0.02674	0.00042	0.01567	0	0.00736	0.01545
V190	0.0046	0.01506	0.01445	0.00947	0.06989	0.05773	0.04096	0	0.78785	0
V191	0.00978	0	0.07789	0.41028	0.46474	0	0.03128	0.00212	0.00391	0
V192	0	0.00028	0.08371	0	0.43842	0	0.00773	0	0.03268	0.43719
V193	0.0587	0.00781	0.19082	0.36605	0.15897	0	0.09725	0.08765	0.03275	0
V194	0	0.02299	0.01263	0.01477	0.04017	0.69342	0.16957	0.00244	0.04403	0
V195	0.03156	0.05173	0.03532	0	0.14279	0.16095	0.43578	0.06654	0.07299	0.00234
V196	0.70931	0.00559	0	0.22797	0.03211	0	0.01432	0	0.00634	0.00436
V197	0	0.00406	0	0.2028	0	0	0.01579	0.54265	0.23471	0
V198	0.01525	0	0.01553	0	0.67711	0.19182	0.0296	0	0.0707	0
V199	0.0192	0.01351	0.10916	0	0.44596	0	0.10995	0	0.04307	0.25915
V200	0.01115	0	0.00481	0	0.5594	0.09656	0.17047	0.13732	0.02029	0
V201	0.18579	0.03252	0.00872	0	0.00703	0	0.10021	0	0.64547	0.02025
V202	0	0.18698	0.60504	0	0.05451	0	0.07453	0	0.07894	0
V203	0	0.04538	0.42274	0.15605	0.01864	0.00096	0.08911	0	0.26517	0.00195
V204	0	0.11504	0.30417	0.34806	0.0364	0.06577	0.00954	0.08742	0.03359	0
V205	0.05355	0.06922	0.03795	0	0.03519	0.04496	0.46127	0.10107	0.19678	0
V206	0.23137	0.00189	0.67219	0	0.05173	0	0.02161	0	0.00355	0.01765
V207	0.00025	0.08796	0.0717	0.07308	0.17198	0	0.02246	0	0.29209	0.28047
V208	0	0.01382	0.01546	0.07152	0.0382	0.68843	0.04959	0	0.12073	0.00225
V209	0.05369	0	0.09771	0	0.84356	0	0.00275	0	0.00229	0
V210	0.06256	0	0.05295	0	0.68529	0	0.0061	0.16623	0.026	0.00086
V211	0	0.03665	0.77473	0	0.00552	0	0.0606	0.0444	0.07811	0
V212	0.0586	0.03549	0	0.0075	0	0	0.01883	0.48986	0.38972	0
V213	0.11091	0.00247	0	0.00352	0.22928	0.58891	0.04529	0	0.01384	0.00578
V214	0.00707	0.02534	0.03026	0	0.40421	0.05137	0.37395	0	0.05568	0.05213
V215	0.00348	0.05356	0.0621	0.00301	0.05266	0.05802	0.66111	0	0.10569	0.00037
V216	0.00657	0.42581	0.06656	0	0.45732	0	0.01098	0	0.03276	0
V217	0.01257	0.11586	0.05737	0.09882	0.29906	0.23278	0.01612	0.06023	0.0462	0.06098
V218	0.02292	0.02111	0.01266	0	0.05321	0.61495	0.19882	0	0.04488	0.03145
V219	0	0	0	0.08274	0	0	0.03156	0.88467	0.00104	0
V220	0	0.01152	0.02261	0.39455	0	0	0.02185	0.0594	0.49008	0
V221	0.11145	0.05618	0.35992	0	0.03298	0	0.03745	0.11968	0.23659	0.04577
V222	0	0	0.84101	0	0	0.13905	0.01994	0	0	0
V223	0	0	0.87908	0	0	0.05897	0.06195	0	0	0
V224	0	0.0035	0.69711	0.01954	0	0	0.01683	0.09576	0.16727	0
V225	0	0	0.31531	0.35767	0	0	0.00381	0.32322	0	0
V226	0.00565	0.46562	0.04753	0	0.18299	0	0.01019	0.25241	0.03561	0
V227	0	0.00143	0.71703	0	0.25838	0	0.0129	0	0.01026	0
V228	0.01188	0.37536	0.11374	0	0.13059	0	0.01272	0.24678	0.10893	0
V229	0.70092	0	0	0	0	0.25317	0.03579	0.01012	0	0
V230	0	0.00797	0.06318	0.44887	0.08607	0.00032	0.09075	0	0.05188	0.25096
V231	0.01641	0.14043	0.0254	0.02181	0.03339	0.0738	0.03508	0	0.65314	0.00055
V232	0	0.22863	0.55448	0	0.08015	0	0.00919	0.11651	0.01103	0
V233	0.02293	0	0.01311	0.01606	0.65953	0	0.01289	0	0.27548	0
V234	0.01083	0.00802	0	0.00521	0.22347	0	0.13576	0.60019	0.01653	0
V235	0	0.0069	0.37165	0	0	0	0.01131	0.61014	0	0
V236	0	0.0092	0.2536	0.30704	0.01455	0.34634	0.03139	0	0.03788	0
V237	0.01103	0	0.4592	0.13773	0.34146	0.01462	0.00851	0.02209	0.00535	0
V238	0	0.02099	0.29351	0	0.01181	0	0.00614	0.66753	2e-05	0
V239	0	0.08671	0.05644	0.62391	0.09911	0.01052	0.03119	0	0.02582	0.06631
V240	0.06318	0.03073	0.03886	0	0.04598	0.30058	0.42479	0	0.07696	0.01892
