Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V157	0	0.46269	0.02293	0.06291	0.12591	0.18324	0.0653	0	0.07702	0
V158	0.24483	0.56415	0.02958	0.02332	0.0031	0	0.05635	0.0195	0.05917	0
V159	0.04036	0.11855	0.21162	0.08913	0.24786	0.02534	0.03533	0.0719	0.02347	0.13645
V160	0	0.82533	0	0.00881	0	0	0.06529	0	0.10057	0
V161	0.00939	0.0112	0.19111	0.70636	0.02147	0.01112	0.00847	0.00987	0.03101	0
V162	0.00919	0	0.02663	0.0133	0	0.00702	0.05588	0.02083	0	0.86717
V163	0.15655	0.03762	0.60651	0.14047	6e-05	0.01386	0.00512	0.01206	0.0015	0.02625
V164	0.08201	0.02959	0.66354	0.15965	0.0043	0.01324	0.01513	0	0.00946	0.02309
V165	0.03743	0.00601	0.27139	0.06653	0	0.0024	0.037	0.02088	0	0.55837
V166	0.04148	0.10777	0.15027	0.51117	0.00373	0.01031	0.04255	0.05741	0.06117	0.01414
V167	0.81712	0.03371	0.06588	0.03086	0.00385	0.00192	0.00482	0.0039	0.03794	0
V168	0.03074	0.06033	0.04949	0.02784	0.01297	0.26006	0.11072	0.27526	0.17259	0
V169	0	0	0.0667	0.17923	0	0.17377	0.05942	0.02664	0	0.49424
V170	0	0.09979	0.0807	0.0214	0.04871	0.00082	0.07029	0.01726	0.66102	0
V171	0.0027	0.04086	0.21805	0.12383	0.03188	0.34247	0.10381	0.04698	0.08942	0
V172	0	0.02651	0.07372	0.04293	0.04	0.1624	0.59228	0.03608	0.02607	0
V173	0	0.00407	0.07329	0.034	0.00224	0.05003	0.52072	0.03142	0	0.28423
V174	0.0177	0.10582	0.24614	0.387	0.08733	0.02118	0.02552	0.01497	0.01776	0.07659
V175	0.76912	0.02321	0.14182	0.04167	0	0.00196	0.0153	0.00693	0	0
V176	0.15429	0.03786	0.04485	0.03853	0.01011	0.60294	0.08474	0.011	0.01567	0
V177	0.65831	0.01305	0.07057	0.11874	0	0.00304	0.00761	0.0147	0	0.11398
V178	0.17576	0.03701	0.04741	0.06438	0.04759	0.52802	0.07975	0.00959	0	0.01048
V179	0.15974	0.17052	0.02184	0.02005	0.5674	0	0	0	0.05226	0.00818
V180	0.41991	0.12848	0.11055	0.3097	0	0.00487	0.01698	0.00075	0.00876	0
V181	0.05354	0.1857	0.49985	0.11875	0.01737	0.00679	0.09124	0	0.02315	0.00361
V182	0	0.09371	0.02504	0.04582	0.27341	0.04848	0.07122	0.33518	0.10712	0
