Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V221	0.15155	0.09636	0.42157	0	9e-04	0	0.0063	0.09903	0.17285	0.05145
V222	0.00217	0	0.85325	0	0	0.14457	0	0	0	0
V223	0	0	0.91198	0	0	0.07829	0.00973	0	0	0
V224	0	0.0018	0.8286	0	0	0	0	0.08281	0.08679	0
V225	0	0	0.37295	0.3681	0	0	0	0.25895	0	0
V226	0.03804	0.6642	0.05977	0	0.07931	0	0	0.15868	0	0
V227	0.00641	0	0.83081	0	0.16278	0	0	0	0	0
V228	0.04057	0.55323	0.15168	0	0.07808	0	0	0.17644	0	0
V229	0.70285	0	0	0	0	0.29715	0	0	0	0
V230	0	0.02001	0.05596	0.46623	0.00215	0.04121	0.10087	0	0	0.31357
V231	0.052	0.22763	0.03416	0.00029	0	0.10082	0.0092	0	0.5759	0
V232	0.01892	0.32535	0.59684	0	0.00057	0	0	0.05832	0	0
V233	0.0261	0.01973	0.06926	0.00723	0.72792	0.00509	0.00283	0	0.14183	0
V234	0.01688	0.01346	0.03884	0	0.18009	0.038	0.1541	0.55864	0	0
V235	0.01258	0	0.45029	0	0	0	0	0.53712	0	0
V236	0	0	0.26768	0.26968	0	0.45089	0.01174	0	0	0
V237	0.02168	0.01062	0.57052	0.11092	0.25445	0.02879	0	0.00302	0	0
V238	0.00707	0	0.3769	0	0	0	0	0.61603	0	0
V239	0.01068	0.1425	0.07241	0.63589	0	0.03884	0.03593	0	0	0.06375
V240	0.05582	0.03876	0.02089	0	0	0.46797	0.39742	0	0.01657	0.00256
V241	0.17503	0	0.02072	0.77083	0	0.03189	0.00153	0	0	0
V242	0.0476	0.00426	0	0.03945	0	0	0.00532	0	0.90338	0
V243	0.02739	0.01322	0.01703	0.15144	0	0.08482	0.05057	0	0.60997	0.04556
V244	0.00162	0.04371	0.45496	0	0	0.12378	0.33172	0.04303	0.00118	0
V245	0.16335	0.0823	0.21002	0	0	0.54017	0.00416	0	0	0
V246	0	0.26866	0.03014	0	0	0.17817	0.47951	0	0.04352	0
V247	0	0	1	0	0	0	0	0	0	0
V248	0.53061	0.06012	0.03512	0	0	0.04992	0.10084	0.22338	0	0
V249	0.01168	0	0.89024	0	0.04308	0	0	0	0	0.05499
V250	0.0031	0	0.02643	0.37357	0	0.31548	0.01495	0.26646	0	0
V251	0.65199	0.16268	0.04474	0	0.07294	0	0	0.06766	0	0
V252	0.07852	0.46566	0.08234	0.02592	0.02822	0.28711	0	0.03223	0	0
V253	0.01635	0	0.37161	0	0	0.07381	0.00401	0	0.53422	0
V254	0.0311	0	0.08925	0.00038	0.87763	0	0	0	0	0.00163
V255	0.03662	0	0.02002	0	0.94336	0	0	0	0	0
V256	0	0	0.00135	0.95657	0	0.04024	0.00184	0	0	0
V257	0.39184	0	0.46947	0	0	0.13868	0	0	0	0
V258	0.0317	0	0.03605	0	0.87007	0	0	0	0	0.06219
V259	0.07845	0	0.02566	0.10791	0.05255	0	0	0.73544	0	0
V260	0.01214	0.08042	0	0	0	0	0	0.90744	0	0
V261	0.20144	0.03838	0.00862	0	0	0.42745	0.25819	0	0.06592	0
V262	0.01488	0.37969	0.16035	0	0.03784	0.39056	0	0	0	0.01667
V263	0.48235	0.38487	0.04223	0	0.05118	0.00565	0.01327	0	0	0.02045
V264	0.0067	0.0095	0.06312	0.67467	0.19682	0.02728	0.02191	0	0	0
V265	0.01235	0.29062	0.08442	0.34949	0.00168	0.06881	0.11037	0	0	0.08227
V266	0.03075	0.65739	0.21333	0	0.09853	0	0	0	0	0
V267	0	0.17168	0.07548	0	0.14216	0	0	0	0	0.61068
V268	0.01759	0.25399	0.09957	0.13058	0.49828	0	0	0	0	0
V269	0.00076	0	0.30262	0.69662	0	0	0	0	0	0
V270	0.05832	0	0.01795	0	0.92373	0	0	0	0	0
V271	0.05275	0.02696	0.18599	0	0	0	0.02317	0	0.71112	0
V272	0.01928	0.15707	0.11448	0	0.02183	0.17303	0.01971	0.22993	0.20435	0.06032
V273	1e-05	0	0.03763	0.21344	0	0.72831	0.02061	0	0	0
V274	0.0711	0	0.14026	0	0.09427	0.17776	0	0.04889	0	0.46772
V275	0.02689	0.06196	0.04996	0	0.68996	0.04171	0	0	0	0.12953
V276	0	0.13214	0.07225	0.48927	0.02479	0.04307	0.11906	0.0045	0.06637	0.04855
V277	0.00299	0.17324	0.58577	0.238	0	0	0	0	0	0
V278	0.13391	0	0.07385	0	0.11032	0	0	0	0	0.68191
V279	0.0057	0.16038	0.06814	0.32258	0.19167	0.07824	0.17329	0	0	0
V280	0.08719	0.03497	0.06015	0.05437	0.10255	0.36114	0.21157	0.08806	0	0
V281	0.0085	0	0.02394	0	0	0.84569	0.03092	0	0	0.09094
V282	0	0	0.01127	0.97803	0	0	0.0107	0	0	0
V283	0.08734	0.01801	0.08915	0.0539	0.52612	0.0496	0.00802	0.00191	0.16595	0
V284	0	0	0.29277	0	0.08496	0	0	0	0	0.62227
V285	0.00615	0.11237	0.0557	0	0.05418	0	0.01672	0.40376	0	0.35111
V286	0.01375	0	0.12021	0.00867	0.01777	0.51748	0.00601	0	0	0.31612
V287	0.00424	0.06108	0.041	0	0.04419	0.14607	0.34548	0	0.02353	0.33441
V288	0.01108	0	0	0	0	0.23901	0	0.74991	0	0
V289	0.00587	0.13898	0.82453	0	0.03062	0	0	0	0	0
V290	0	0.05307	0.18142	0	0	0.38832	0.37718	0	0	0
V291	0.85307	0	0.06681	0.02616	0	0.05395	0	0	0	0
V292	0.00573	0	0.5975	0	0	0.39676	0	0	0	0
V293	0.01627	0	0.98373	0	0	0	0	0	0	0
V294	0.05171	0.23246	0.23338	0	0	0.00541	0.05075	0	0.42629	0
V295	0.00402	0.02958	0.89383	0	0	0	0	0.05175	0	0.02083
V296	0.01054	0.0414	0.12985	0.16503	0.25325	0.00796	0.02477	0.11137	0.25583	0
V297	0.22801	0.04799	0.04861	0	0.15233	0	0.02338	0	0	0.49968
V298	0	0	0.04288	0.934	0	0.00643	0.01668	0	0	0
V299	0.34764	0	0	0	0.06101	0.58165	0.00234	0	0	0.00736
V300	0.00391	0	0.05202	0.2873	0.09843	0	0	0.55834	0	0
V301	0	0	0	0	0	0	0	1	0	0
V302	0.25188	0	0.03035	0	0	0	0	0.71777	0	0
V303	0.01829	0.4663	0.18817	0	0.03377	0.29347	0	0	0	0
V304	0.08627	0	0	0	0	0	0	0.91373	0	0
V305	0.03228	0	0.49655	0	0.38899	0.05085	0	0	0	0.03133
V306	0	0	0.01083	0.39595	0	0.52752	0.03527	0.03042	0	0
