CD56NK	CD4MemoryT	CD19B	CD14
V514	0.01591	0.03449	0.00035	0.94926
V515	0.78628	0.03299	0.03584	0.14489
V516	0.93291	0.06075	0	0.00634
V517	0.03331	0.00636	0.20537	0.75496
V518	0.97433	0.01849	0.00031	0.00687
V519	0.03012	0.83651	0.00153	0.13184
V520	0.02353	0	0.56005	0.41642
V521	0.61262	0.0195	0.3333	0.03459
V522	0.007	0.08285	0.5459	0.36425
V523	0.3694	0.07998	0.231	0.31962
V524	0.01103	0.76891	0.18119	0.03888
V525	0.24648	0.1447	0.01634	0.59248
V526	0.6553	0.04536	0.05812	0.24121
V527	0.20347	0.00578	0.35003	0.44072
V528	0.10949	0.83041	0	0.0601
V529	0.05299	0.03023	0.18019	0.73658
V530	0.00703	0.16451	0.68515	0.14331
V531	0.02346	0.87064	0.1059	0
V532	0.16756	0.25505	0.01677	0.56063
V533	0.29977	0.29057	0.11999	0.28967
V534	0.00702	0.00154	0.66869	0.32274
V535	0.51401	0	0.0062	0.4798
V536	0.18529	0	0.31841	0.4963
V537	0.64608	0.20552	0.13503	0.01337
V538	0.44322	0.0258	0.0653	0.46568
V539	0.29303	0.37864	0.14215	0.18619
V540	0.22616	0.6659	0.05933	0.04862
V541	0.01838	0.43513	0.04762	0.49887
V542	0.19554	0.07928	0.2194	0.50577
V543	0.87599	0	0.00757	0.11645
V544	0.09478	0.04829	0.13626	0.72067
V545	0.35761	0.09131	0.0522	0.49889
V546	0.05521	0.88226	0.05674	0.00579
V547	0.03941	0.63542	0.30998	0.0152
V548	0.17857	0.74361	0.07252	0.0053
V549	0.36553	0.0121	0.60701	0.01536
V550	0.55735	0.00949	0	0.43316
V551	0.19797	0.70315	0.02715	0.07174
V552	0.00515	0.44996	0.00051	0.54438
V553	0.25926	0.10932	0.6046	0.02682
V554	0.04765	0.04769	0.01403	0.89062
V555	0.09084	0.17048	0.30486	0.43382
V556	0.00047	0.01526	0.94051	0.04376
V557	0.81342	0.00947	0.00686	0.17025
V558	0.07245	0.74908	0.01988	0.15859
V559	0.01327	0.80322	0.18351	0
V560	0.72059	0.2736	0	0.00582
V561	0.00057	0.01388	0.97597	0.00958
V562	0.79392	0	0.0957	0.11038
V563	0.27444	0	0.71878	0.00678
V564	0.06204	0.0508	0.86941	0.01775
V565	0.12926	0.20987	0.35781	0.30306
V566	0.69788	0.05885	0.00172	0.24154
V567	0.2244	0.37637	0.01762	0.38162
V568	0.2199	0	0.03756	0.74254
V569	0.6552	0.00923	0	0.33557
V570	0.02602	0.2568	0.62595	0.09123
V571	0.84254	0.08616	0	0.0713
V572	0.47153	0	0.40449	0.12398
V573	0.05671	0.11866	0.00178	0.82285
V574	0.04133	0.78084	0.16273	0.0151
V575	0.01868	0.04533	0.09489	0.84111
V576	0.17671	0.77937	0.02896	0.01496
V577	0.03376	0.0173	0.17034	0.7786
V578	0.05576	0.03717	0.66125	0.24583
V579	0.01241	0.87848	0.08244	0.02667
V580	0.13533	0	0.08319	0.78148
V581	0.05829	0.0424	0	0.89932
V582	0.5894	0.09725	0.02302	0.29033
V583	0.00746	0.02142	0.54315	0.42797
V584	0.57264	0.11123	0.27033	0.04581
V585	0.00862	0	0.3864	0.60497
V586	0.25578	0.00066	0.62342	0.12014
V587	0.29671	0.00205	0.6632	0.03805
V588	0.61302	0.01927	0.0165	0.35121
V589	0.06282	0.79933	0.05212	0.08572
V590	0.05396	0.75766	0.18281	0.00558
V591	0.00508	0.01381	0.16207	0.81904
V592	0.18216	0.02136	0.79608	4e-04
V593	0.57809	0	0.15302	0.26889
V594	0.37938	0.24212	0.31894	0.05956
V595	0.02386	0.00677	0.01174	0.95763
V596	0.03362	0.21855	0.19443	0.55341
V597	0.00341	0.55498	0.32814	0.11347
V598	0.01671	0.08966	0.87566	0.01798
V599	0.67352	0.26702	0.02576	0.0337
V600	0.39003	0.41624	0.03946	0.15426
V601	0.1568	0.20919	0.06155	0.57247
V602	0.02434	0.00945	0.00567	0.96054
V603	0.0116	0.29319	0.00625	0.68896
V604	0.56885	0.07874	0.31735	0.03505
V605	0.06963	0.27933	0.38567	0.26537
V606	0.74953	0.10694	0.00697	0.13656
V607	0.64529	0.00061	0.08741	0.26669
V608	0.23292	0.11246	0.35921	0.29541
V609	0.02492	0.17611	0.20185	0.59712
V610	0.77982	0.00445	0.07245	0.14328
V611	0.26223	0	0.03666	0.70112
V612	0.02536	0.06095	0.82264	0.09104
V613	0.03624	0.30589	0.605	0.05287
V614	0.77585	0.03288	0.03567	0.1556
V615	0.11793	0.02617	0.00224	0.85366
V616	0.08347	0.65861	0.03314	0.22478
V617	0.5262	0.12497	0.34884	0
V618	0.69297	0	0	0.30703
