Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V273	0	0	0.02095	0.22263	0.08986	0.53546	0.08874	0.02141	0.01246	0.00849
V274	0	0.03613	0.14654	0.03588	0.12251	0.1579	0.01815	0.08505	0.05692	0.34093
V275	0	0.14005	0.05677	0	0.62332	0.07575	0.00477	0	0	0.09933
V276	0	0.10236	0.10376	0.36527	0.12238	0.0066	0.10266	0.03485	0.14109	0.02102
V277	0	0.16248	0.56516	0.16419	0.09818	0	0	0.00764	0.00235	0
V278	0.03348	0.07936	0.16867	0	0.16007	0	1e-05	0	0.02721	0.5312
V279	0	0.1484	0.08303	0.24744	0.25616	0.03919	0.1731	0.04516	0.00753	0
V280	0.03701	0.02793	0.02593	0.10351	0.14897	0.24998	0.20716	0.17847	0.02093	0.00011
V281	0	0.00775	0	0.06056	0.07748	0.61073	0.10852	0.0336	0.02728	0.07407
V282	0	0.02035	0.16655	0.71932	0.03223	0	0.00479	0.03302	0.02374	0
V283	0.00638	0.03051	0.09085	0.06584	0.47993	0.04181	0.00455	0	0.28014	0
V284	0	0.04601	0.30828	0	0.13493	0	0	0	0.03004	0.48074
V285	0	0.1117	0	0.10073	0.10823	0.00824	0.02003	0.40489	0.03888	0.20729
V286	0	0.00674	0.09374	0.06307	0.09803	0.40358	0.06703	0.01757	0.02228	0.22794
V287	0	0.07178	0.05449	0	0.08445	0.0668	0.32837	0.10304	0.04857	0.2425
V288	0	0	0	0.15211	0.02222	0.18611	0	0.63956	0	0
V289	0	0.12154	0.71402	0	0.1395	0	0	0	0.00889	0.01605
V290	0	0.0416	0.16133	0	0.02472	0.23757	0.36532	0.1345	0.03186	0.0031
V291	0.72443	0	0.08792	0.01429	0.06215	0.05871	0.00609	0.0278	0	0.01861
V292	0	0	0.55439	0	0.02376	0.33232	0.05277	0.00062	0.01817	0.01796
V293	0	0	0.92021	0	0.02356	0	0	0.01309	0.01289	0.03025
V294	0	0.16494	0.20423	0	0.13654	0	0.04768	0	0.4466	0
V295	0	0.02945	0.7701	0	0.05111	0.00365	0	0.08316	0.0102	0.05233
V296	0	0.0285	0.08909	0.1671	0.2763	0	0.01148	0.09973	0.3278	0
V297	0.14467	0.09829	0.08914	0	0.18644	0.0061	0.0464	0.03015	0.01631	0.3825
V298	0	0.02046	0.20263	0.69549	0.02808	0.00526	0.0181	0.01471	0.01528	0
V299	0.23912	0	0	0.02598	0.14709	0.46304	0.06722	0.02622	0.00144	0.02989
