CD56NK	CD4MemoryT	CD19B	CD14
V389	0.49727	0.3728	0.00838	0.12155
V390	0.42771	0.20292	0.35451	0.01486
V391	0.35614	0.0445	0.00822	0.59114
V392	0.46065	0.13027	0.09931	0.30977
V393	0.34737	0.15262	0.23315	0.26685
V394	0.08451	0.11269	0.05444	0.74836
V395	0.2679	0.2653	0.13195	0.33486
V396	0.01846	0.92042	0.00536	0.05576
V397	0.82646	0.04556	0.06379	0.06419
V398	0.42683	0.0665	0.05104	0.45563
V399	0.25939	0.42594	0.10729	0.20738
V400	0.00133	0.38508	0.03881	0.57478
V401	0.06145	0.12358	0.62386	0.19111
V402	0.86271	0.11335	0.02394	0
V403	0.01668	0.00458	0.02937	0.94937
V404	0.13822	0.15184	0.4906	0.21933
V405	0.18766	0.00948	0.07727	0.7256
V406	0.67345	0.15374	0.01159	0.16122
V407	0.00508	0.97039	0.00649	0.01803
V408	0.11269	0.15861	0.26062	0.46808
V409	0.00267	0.00196	0.00576	0.98962
V410	0.14072	0.78142	0.02478	0.05308
V411	0.34883	0	0	0.65117
V412	0.19212	0.03682	0.32095	0.45011
V413	0.07354	0.33214	0.11825	0.47608
V414	0.05462	0.41587	0.2577	0.27182
V415	0.43877	0.01032	0.12591	0.42501
V416	0.01687	0.06715	0.91598	0
V417	0.49334	0.48812	0.00455	0.01399
V418	0.06161	0.04315	0.06579	0.82946
V419	0.00944	0	0.00935	0.98121
V420	0.00307	0.78718	0.00995	0.1998
V421	0.22366	0.0174	0.51641	0.24253
V422	0.03398	0.02202	0.00173	0.94228
V423	0.1401	0.00457	0.79324	0.06209
V424	0.00026	0.02126	0.41011	0.56837
V425	0.08998	0.19127	0.4763	0.24244
V426	0.14514	0.0209	0.67003	0.16392
V427	0.08018	0.24955	0.11758	0.55269
V428	0.13225	0.64619	0.04232	0.17924
V429	0.00937	0	0.01375	0.97688
V430	0.77083	0.10197	0.01155	0.11565
V431	0.2009	0.00754	0.26676	0.52479
