Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V314	0.24638	0.05459	0.02689	0.67214	0	0
V315	0.1426	0.68494	0.01739	0.06141	0.05544	0.03822
V316	0.21225	0	0.01366	0.12183	0	0.65227
V317	0.07184	0.00202	0.03682	0.81203	0	0.07729
V318	0	0.02184	0.08668	0.89147	0	0
V319	0.38907	0.17165	0.29728	0.14201	0	0
V320	0.28387	0.17286	0.41324	0.1134	0	0.01663
V321	0	0.63162	0.01543	0.35294	0	0
V322	0.04266	0	0.07859	0.04278	0.77451	0.06147
V323	0	0.28762	0	0.44908	0.2633	0
V324	0.09993	0.00386	0.03299	0.28473	0.45661	0.12189
V325	0.05032	0.7985	0.05986	0.06406	0	0.02727
V326	0.17276	0.70803	0.03754	0.06494	0.01673	0
V327	0.06783	0.03049	0.90168	0	0	0
V328	0.16442	0.19698	0.22119	0.15828	0.25914	0
V329	0	0.00928	0.62918	0	0.36154	0
V330	0	0.03369	0.94995	0.00817	0.00819	0
V331	0.80777	0.03972	0.04794	0.10457	0	0
V332	0.0536	0.0283	0.18234	0.03761	0.43306	0.26509
V333	0	0.02954	0.57256	0.34256	0.05534	0
V334	0	0.36088	0.51949	0.11963	0	0
V335	0.13209	0.01783	0.82543	0	0	0.02465
V336	0.36943	0.54761	0.03565	0.04731	0	0
V337	0.04562	0.17003	0.0408	0.02611	0.71744	0
V338	0.78468	0	0.02394	0.02009	0.17128	0
V339	0.09773	0.08741	0.5052	0.26779	0	0.04187
V340	0.6874	0.22585	0	0.07315	0.0136	0
V341	0.25872	0.07138	0.07044	0.5879	0.01156	0
V342	0.0573	0.00975	0.04806	0.78407	0	0.10082
V343	0.13788	0.11348	0.16595	0.05598	0	0.52671
V344	0	0.6218	0	0.08958	0.1883	0.10032
V345	0.00267	0.00327	0	0.04456	0.94951	0
V346	0.16563	0.01832	0.01047	0.46116	0.34442	0
V347	0.51981	0.11851	0.0034	0.09855	0.25972	0
V348	0.08814	0.1367	0.73032	0.00684	0.038	0
V349	0.75986	0.0715	0.03574	0.09819	0.0347	0
V350	0.53833	0.00714	0.15929	0.25163	0	0.04362
V351	0.25659	0	0.05255	0.07388	0	0.61698
V352	0	0.31803	0	0.04591	0.34026	0.2958
V353	0	0.1473	0.8527	0	0	0
V354	0.16266	0.01185	0.28472	0.01555	0.33756	0.18766
V355	0	0.05104	0.94689	0.00208	0	0
V356	0.59391	0.10998	0.03403	0.25921	0.00287	0
V357	0.31294	0.018	0.44285	0.00895	0.21726	0
V358	0.03394	0	0.09077	0.07515	0	0.80014
V359	0.13391	0.11862	0.02533	0.68158	0.04056	0
V360	0.55478	0	0	0.21792	0.2273	0
V361	0	0.85594	0.02306	0.107	0	0.014
V362	0	0.53474	0.06245	0.40281	0	0
V363	0.80286	0.04448	0.0394	0.01399	0.09927	0
V364	0.06715	0.15167	0.01501	0.11648	0.06525	0.58444
V365	0.44212	0.37992	0.00376	0.17421	0	0
V366	0.06265	0.24575	0.5708	0.06416	0.05664	0
V367	0	0.02249	0.03642	0.64551	0.29559	0
