Tool-Reference	CellType	Sample	Prediction	Answer	Error	SqError
Cibersort-LM22	T Cells	J	0.87608	1.0	0.12392	0.0153561664
Cibersort-LM22	B Cells	K	0.00742	0.0	0.00742	5.50564e-05
Cibersort-LM22	Monocytes	K	0.0	0.0	0.0	0.0
Cibersort-LM22	NK	K	0.13558	0.0	0.13558	0.0183819364
Cibersort-LM22	Neutrophils	K	0.0	0.0	0.0	0.0
Cibersort-LM22	T Cells	K	0.83438	1.0	0.16562	0.0274299844
Cibersort-LM22	B Cells	L	0.00051	0.0	0.00051	2.601e-07
Cibersort-LM22	Monocytes	L	0.04526	0.0	0.04526	0.0020484676
Cibersort-LM22	NK	L	0.18817	0.0	0.18817	0.0354079489
Cibersort-LM22	Neutrophils	L	0.0	0.0	0.0	0.0
Cibersort-LM22	T Cells	L	0.75081	1.0	0.24919	0.0620956561
Decon-BLUEPRINT	B Cells	A	0.41789	0.194	0.22389	0.0501267321
Decon-BLUEPRINT	Monocytes	A	0.05086	0.194	0.14314	0.0204890596
Decon-BLUEPRINT	NK	A	0.0	0.194	0.194	0.037636
Decon-BLUEPRINT	Neutrophils	A	0.0	0.03	0.03	0.0009
Decon-BLUEPRINT	T Cells	A	0.53125	0.388	0.14325	0.0205205625
Decon-BLUEPRINT	B Cells	B	0.41725	0.194	0.22325	0.0498405625
Decon-BLUEPRINT	Monocytes	B	0.04289	0.194	0.15111	0.0228342321
Decon-BLUEPRINT	NK	B	0.0	0.194	0.194	0.037636
Decon-BLUEPRINT	Neutrophils	B	0.0	0.03	0.03	0.0009
Decon-BLUEPRINT	T Cells	B	0.53986	0.388	0.15186	0.0230614596
Decon-BLUEPRINT	B Cells	C	0.42051	0.005	0.41551	0.1726485601
Decon-BLUEPRINT	Monocytes	C	0.0	0.01	0.01	0.0001
Decon-BLUEPRINT	NK	C	0.0	0.051	0.051	0.002601
Decon-BLUEPRINT	Neutrophils	C	0.0	0.004	0.004	1.6e-05
Decon-BLUEPRINT	T Cells	C	0.57949	0.93	0.35051	0.1228572601
Decon-BLUEPRINT	B Cells	D	0.42233	0.005	0.41733	0.1741643289
Decon-BLUEPRINT	Monocytes	D	0.0	0.01	0.01	0.0001
Decon-BLUEPRINT	NK	D	0.0	0.051	0.051	0.002601
Decon-BLUEPRINT	Neutrophils	D	0.0	0.004	0.004	1.6e-05
Decon-BLUEPRINT	T Cells	D	0.57767	0.93	0.35233	0.1241364289
Decon-BLUEPRINT	B Cells	E	0.4203	0.01	0.4103	0.16834609
Decon-BLUEPRINT	Monocytes	E	0.0	0.026	0.026	0.000676
Decon-BLUEPRINT	NK	E	0.0	0.104	0.104	0.010816
