Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V278	0.33611	0.01048	0.2641	0.07871	0.31061	0
V279	0.29148	0	0.19674	0	0	0.51178
V280	0.2555	0	0.09437	0.61249	0.03764	0
V281	0	1	0	0	0	0
V282	0.06636	0	0.24598	0	0.68766	0
V283	0.01536	0.45802	0.12196	0	0.40467	0
V284	0.33666	0.00243	0.45314	0.12592	0.08185	0
V285	0.1168	0	0.06499	0.76487	0.05334	0
V286	0.83028	0	0.16972	0	0	0
V287	0.10073	0	0.26023	0	0.63904	0
V288	0.24135	0.2197	0.06691	0	0.00408	0.46795
V289	0.10512	0	0.89488	0	0	0
V290	0.1299	0	0.34383	0.48202	0.04424	0
V291	0.15806	0	0.06752	0.7349	0.03952	0
V292	0.32702	0.013	0.12301	0.40431	0.13266	0
V293	0.02867	0	0.28288	0	0.68845	0
V294	0.7259	0	0.18819	0	0.08591	0
V295	0.1523	0	0	0	0	0.8477
V296	0.21631	0.43128	0.16168	0.08766	0.10307	0
V297	0.02705	0	0	0	0	0.97295
V298	0	0.98659	0.01341	0	0	0
V299	0.2318	0	0.7682	0	0	0
V300	0.97633	0.02367	0	0	0	0
V301	0.56887	0.43113	0	0	0	0
V302	0.11707	0.2959	0.13123	0.36075	0.09505	0
V303	0	0.8821	0.1179	0	0	0
V304	0.0178	0	0.28378	0	0.69842	0
V305	0.27796	0	0.29467	0.22838	0.10249	0.0965
V306	0.46585	0.01336	0	0	0	0.52079
V307	0.28921	0	0.23358	0	0.47721	0
V308	0.0911	0	0.05963	0.79316	0.05612	0
V309	0.00209	0.73343	0.02881	0.21592	0.01975	0
V310	0.23168	0.38586	0.24097	0	0	0.1415
V311	0.56854	0	0	0	0	0.43146
V312	0.25475	0	0.1742	0.17516	0.39589	0
V313	0.29076	0	0	0	0	0.70924
V314	0.41089	0	0.11963	0.45853	0.01095	0
V315	0.08893	0.91107	0	0	0	0
V316	0.27821	0	0.02304	0	0	0.69874
V317	0.31089	0	0.09669	0.50228	0.06191	0.02824
V318	0.1286	0	0.10633	0.72518	0.03989	0
V319	0.56488	0.10053	0.33459	0	0	0
V320	0.48888	0.10387	0.40725	0	0	0
V321	0	0.88573	0.01452	0.07604	0.02371	0
V322	0.1894	0	0.30707	0	0.50353	0
V323	0.11534	0.28313	0.08283	0.22647	0.29224	0
V324	0.3514	0	0.20909	0.06269	0.34592	0.0309
V325	0	1	0	0	0	0
V326	0.01331	0.98669	0	0	0	0
V327	0.09864	0	0.90136	0	0	0
V328	0.348	0.10369	0.34641	0	0.2019	0
V329	0.05342	0	0.74937	0	0.19721	0
V330	0.01262	0	0.98738	0	0	0
V331	0.91379	0	0.08621	0	0	0
V332	0.28909	0	0.29475	0	0.23002	0.18614
V333	0.16628	0	0.62408	0.10383	0.10581	0
V334	0.03128	0.43489	0.53383	0	0	0
V335	0.24722	0	0.75278	0	0	0
V336	0.2773	0.7227	0	0	0	0
V337	0.20112	0.02169	0.27393	0	0.50325	0
V338	0.81763	0	0.18237	0	0	0
V339	0.3773	0	0.53704	0.02844	0.05722	0
V340	0.7762	0.2238	0	0	0	0
V341	0.44327	0	0.16554	0.35531	0.03588	0
V342	0.29619	0	0.10678	0.46912	0.06892	0.05899
V343	0.27886	0.05041	0.08794	0	0	0.58279
V344	0.10153	0.7814	0.05751	0	0.05956	0
V345	0	0	0.25975	0	0.74025	0
V346	0.29936	0	0.17495	0.22341	0.30229	0
V347	0.67613	0.03538	0.19954	0	0.08895	0
V348	0.24924	0	0.75076	0	0	0
V349	0.89044	0	0.10956	0	0	0
V350	0.75185	0	0.24815	0	0	0
V351	0.3066	0	0.01016	0	0	0.68324
V352	0.21609	0.28733	0.08273	0	0.17512	0.23872
V353	0.12229	0	0.87771	0	0	0
V354	0.38598	0	0.37973	0	0.14651	0.08779
V355	0.00484	0	0.99516	0	0	0
V356	0.77699	0.05641	0.1666	0	0	0
V357	0.39679	0	0.56825	0	0.03496	0
V358	0.09076	0	0.03838	0	0	0.87086
V359	0.34929	0.02305	0.10714	0.44523	0.0753	0
V360	0.66869	0	0.18695	0	0.14436	0
V361	0	1	0	0	0	0
V362	0.00689	0.72506	0.07135	0.16406	0.03265	0
V363	0.88059	0	0.11941	0	0	0
V364	0.23701	0.08726	0.06462	0	0.00529	0.60582
V365	0.53032	0.44988	0.01981	0	0	0
V366	0.23555	0.14493	0.61952	0	0	0
V367	0.14479	0	0.14104	0.42354	0.29063	0
V368	0.23772	0.0225	0.15202	0	0.03433	0.55343
V369	0.14406	0	0.22531	0	0.63063	0
V370	0.20412	0	0.79588	0	0	0
V371	0.2678	0.28205	0.05917	0.3359	0.01277	0.0423
V372	0.04741	0.86602	0.05696	0	0.02961	0
V373	1	0	0	0	0	0
V374	0.32853	0	0.37542	0.24483	0.05122	0
V375	0.52912	0	0.38436	0	0.08652	0
V376	0.16818	0	0.07185	0	0.04642	0.71355
V377	0.11444	0	0.60068	0	0.28488	0
V378	0.23354	0	0.16377	0	0	0.60269
V379	0.58134	0	0.08543	0	0	0.33322
V380	0.02671	0	0.28034	0	0.69295	0
V381	0.50738	0	0.46367	0.02895	0	0
V382	0.07276	0	0.22226	0.03488	0.6701	0
V383	0.37068	0	0.54907	0.0445	0.03574	0
V384	0.06772	0	0.93228	0	0	0
V385	0.07455	0	0	0	0	0.92545
V386	0.70573	0	0.29427	0	0	0
V387	0.39262	0	0.17254	0.43166	0.00318	0
V388	0.85778	0	0.14222	0	0	0
V389	0.36238	0	0	0	0	0.63762
V390	0.29871	0	0.0901	0.55934	0.05185	0
V391	0.181	0	0.13977	0.41062	0.2686	0
V392	0.25838	0	0.52138	0	0	0.22024
V393	0.36195	0.02711	0.53002	0	0.05325	0.02767
V394	0.10779	0	0.12103	0.68073	0.09045	0
V395	0.01044	0	0.98956	0	0	0
V396	0.72988	0.00176	0.14793	0.12043	0	0
V397	0.16898	0.07521	0	0	0	0.75581
V398	0.00652	0.84298	0.08809	0	0.06241	0
