Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V246	0	0.06648	0.24189	0.45917	0.23245	0
V247	0.25511	0.09047	0	0.1927	0	0.46171
V248	0.27789	0.06685	0	0.27612	0.37914	0
V249	0.27451	0.1892	0.44235	0.03956	0	0.05438
V250	0	0.03278	0	0.96722	0	0
V251	0	0.63304	0.16289	0.20407	0	0
V252	0	0.02798	0.00796	0.96406	0	0
V253	0	0.07274	0	0.53845	0.04736	0.34145
V254	0.02857	0.30839	0.04673	0.27415	0.33604	0.00613
V255	0.47747	0.33999	0.05888	0.08736	0	0.0363
V256	0	0.97436	0	0.02564	0	0
V257	0.03483	0.48445	0	0.05789	0.4032	0.01964
V258	0	0.26033	0.13445	0.60522	0	0
V259	0	0.59614	0.40386	0	0	0
V260	0.12523	0.063	0	0.04267	0.70802	0.06108
V261	0.64743	0.03808	0	0.05046	0.18954	0.07449
V262	0.04414	0.06176	0.8941	0	0	0
V263	0	0.08763	0.72963	0.18274	0	0
V264	0.75511	0.03749	0.09135	0.04408	0	0.07196
V265	0	0.03889	0	0.06491	0.8962	0
V266	0.10735	0.03085	0	0	0	0.86181
V267	0.15219	0.76805	0	0.07976	0	0
V268	0.96455	0.03545	0	0	0	0
V269	0	0.076	0.11243	0.81158	0	0
V270	0.32507	0.55381	0	0.03188	0.08923	0
V271	0	0.12977	0.29497	0	0	0.57526
V272	0.00034	0.03023	0	0.13454	0.81275	0.02213
V273	0.05837	0.02954	0	0.13823	0.77385	0
V274	0	0	0.18038	0.04018	0	0.77945
V275	0.7943	0.2057	0	0	0	0
V276	0.06529	0.30062	0.07456	0.10264	0	0.45689
V277	0.54754	0.02826	0	0.01657	0.08202	0.32561
V278	0.13547	0.16108	0.0667	0.31793	0.31882	0
V279	0.10462	0.05647	0.23009	0.0342	0	0.57463
V280	0.07054	0.05096	0	0.8785	0	0
V281	0	0.93855	0.02	0.04145	0	0
V282	0	0.06167	0	0.1059	0.83243	0
V283	0	0.47182	0	0.02748	0.5007	0
V284	0	0.13356	0.37982	0.39295	0	0.09366
V285	0	0.03227	0	0.96773	0	0
V286	0.71563	0.07314	0.04519	0.16604	0	0
V287	0.00446	0.04219	0	0.13949	0.81385	0
V288	0.03531	0.32404	0	0.02957	0.07104	0.54005
V289	0	0.10227	0.8265	0.07123	0	0
V290	0	0.01646	0.23258	0.75096	0	0
V291	0	0.05491	0	0.94509	0	0
V292	0.11646	0.13923	0	0.69819	0.04612	0
V293	0	0.06201	0	0.04289	0.8951	0
V294	0.66098	0.05145	0	0.02292	0.26318	0.00148
V295	0.11424	0	0	0	0	0.88576
V296	0	0.44131	0.08574	0.38125	0	0.0917
V297	0	0.04865	0	0	0	0.95135
V298	0	0.82392	0.17608	0	0	0
V299	0.11972	0.11281	0.76746	0	0	0
V300	0.8778	0.1222	0	0	0	0
V301	0.54107	0.4358	0.02313	0	0	0
V302	0	0.31368	0.04453	0.64179	0	0
V303	0	0.79381	0.06173	0.04693	0.09752	0
V304	0	0.03752	0	0.03218	0.9303	0
V305	0	0.02823	0.20667	0.56152	0.00177	0.20181
V306	0.39798	0.09566	0	0	0	0.50637
V307	0.21415	0.03581	0	0.04021	0.70983	0
V308	0	0.01778	0	0.98222	0	0
V309	0	0.57088	0	0.42912	0	0
V310	0.02345	0.42484	0.31438	0	0	0.23733
V311	0.53679	0	0	0	0	0.46321
V312	0.11476	0.05094	0	0.44076	0.39355	0
V313	0.23801	0.00554	0	0.01872	0	0.73773
V314	0.22973	0.06325	0	0.70702	0	0
V315	0.1717	0.80056	0	0.02281	0.00492	0
V316	0.16623	0.00261	0	0.07549	0	0.75567
V317	0.01458	0.0321	0	0.82171	0	0.13162
V318	0	0.02752	0	0.97248	0	0
V319	0.4031	0.21461	0.2618	0.1205	0	0
V320	0.29147	0.22203	0.37996	0.08547	0	0.02106
V321	0	0.68389	0	0.31611	0	0
V322	0.03148	0.01909	0.02978	0.05392	0.76553	0.1002
V323	0	0.32043	0	0.49001	0.18955	0
V324	0.05151	0.06161	0	0.30336	0.40221	0.18131
V325	0.06261	0.92529	0.0121	0	0	0
V326	0.16772	0.82597	0	0.00631	0	0
V327	0.0564	0.04139	0.90221	0	0	0
V328	0.1722	0.24601	0.19071	0.18354	0.20754	0
V329	0	0.03262	0.64826	0.00729	0.31182	0
V330	0	0.03145	0.96855	0	0	0
V331	0.82483	0.09326	0.01631	0.06561	0	0
V332	0.00766	0.09037	0.14521	0.02568	0.39054	0.34053
V333	0	0.0494	0.54816	0.40244	0	0
V334	0	0.42356	0.48683	0.08961	0	0
V335	0.12759	0.04207	0.80201	0	0	0.02833
V336	0.37026	0.62974	0	0	0	0
V337	0.03765	0.23138	0	0.03235	0.69862	0
V338	0.82935	0.03943	0.00148	0.0059	0.12385	0
V339	0.0839	0.12267	0.46148	0.26854	0	0.06341
V340	0.69221	0.28335	0	0.02443	0	0
V341	0.26043	0.08763	0.00661	0.64532	0	0
V342	0.00324	0.04048	0	0.79876	0	0.15751
V343	0.07793	0.17545	0.12653	0.0038	0	0.61628
V344	0	0.72474	0	0.0567	0.13392	0.08464
V345	0	0.02423	0	0.04687	0.9289	0
V346	0.15265	0.04978	0	0.52027	0.2773	0
V347	0.53151	0.16849	0	0.09788	0.20213	0
V348	0.08931	0.17058	0.74011	0	0	0
V349	0.79253	0.11208	0.00767	0.08772	0	0
V350	0.51308	0.06179	0.11434	0.23219	0	0.0786
V351	0.17226	0.07063	0.01759	0.01527	0	0.72425
V352	0	0.37601	0	0.0149	0.28844	0.32065
V353	0	0.17094	0.82906	0	0	0
V354	0.13078	0.07079	0.25738	0.00452	0.28885	0.24768
V355	0	0.04789	0.95211	0	0	0
V356	0.60071	0.15302	0	0.24627	0	0
V357	0.33436	0.0522	0.44467	0.01486	0.15391	0
V358	0	0	0.0501	0.02771	0	0.92218
V359	0.12462	0.13605	0	0.73933	0	0
V360	0.56136	0.03838	0	0.23481	0.16545	0
V361	0	0.9736	0	0.0264	0	0
V362	0	0.59377	0	0.40623	0	0
V363	0.84142	0.09467	0.01873	0	0.04518	0
V364	0.00137	0.21515	0	0.0719	0.0413	0.67028
V365	0.43764	0.43082	0	0.13154	0	0
V366	0.06587	0.29578	0.57156	0.06679	0	0
V367	0	0.03438	0	0.73256	0.23305	0
V368	0	0.15006	0.07696	0.07094	0.08253	0.6195
V369	0.01292	0.05791	0	0.10866	0.80096	0.01956
V370	0.00553	0.11654	0.75331	0.11609	0	0.00852
V371	0	0.29876	0	0.57576	0	0.12548
V372	0.00331	0.78992	0	0.05877	0.11322	0.03478
V373	0.96252	0.01947	0	0	0	0.01801
V374	0.16757	0.05966	0.25445	0.51832	0	0
V375	0.47058	0.04866	0.1899	0.06526	0.22561	0
V376	0	0.04036	0	0.19107	0	0.76857
V377	0.03788	0.05042	0.45594	0.00889	0.44687	0
V378	0.05026	0.07041	0.21752	0	0	0.6618
V379	0.5045	0.0044	0.10827	0	0	0.38284
V380	0	0.053	0	0.0552	0.8918	0
V381	0.34833	0.07613	0.31916	0.25637	0	0
V382	0	0.04194	0	0.26898	0.68908	0
V383	0.18803	0.08348	0.43971	0.28877	0	0
V384	0.00585	0.06924	0.9249	0	0	0
V385	0.03463	0	0	0	0	0.96537
V386	0.66708	0.06998	0.26293	0	0	0
V387	0.22165	0.0622	0.01253	0.70362	0	0
V388	0.81229	0.07647	0.11124	0	0	0
V389	0.29684	0.07293	0	0	0	0.63022
V390	0	0.07659	0	0.85544	0	0.06797
V391	0.00835	0.05085	0	0.73573	0.20507	0
V392	0	0.0487	0.56038	0.07655	0	0.31436
V393	0.00493	0.18694	0.48536	0.08664	0.05474	0.18138
V394	0	0.02353	0	0.97647	0	0
V395	0	0.06445	0.93555	0	0	0
V396	0.52562	0.10684	0	0.36754	0	0
V397	0.00118	0.19795	0.01084	0.01196	0	0.77807
V398	0.01014	0.77309	0	0.05868	0.15809	0
V399	0	0.03838	0.95371	0.00792	0	0
V400	0	0.02513	0	0.46447	0	0.51041
V401	0.1613	0.05928	0.76246	0.00259	0.01437	0
V402	0.01088	0.06182	0	0.92731	0	0
V403	0	0	0	0.07455	0.35069	0.57476
V404	0	0.03438	0.96562	0	0	0
V405	0.40051	0.39369	0.07557	0.06876	0.06147	0
V406	0.09365	0.0794	0.20604	0.13595	0.11699	0.36797
V407	0.02463	0.03674	0.80828	0	0	0.13035
V408	0	0.14448	0	0.81175	0	0.04377
V409	0.93691	0.06309	0	0	0	0
V410	0.94716	0.05284	0	0	0	0
V411	0	0	0	0.29049	0	0.70951
V412	0.63712	0.21623	0.03107	0.049	0.06657	0
V413	0	0.12816	0	0.87184	0	0
V414	0.06466	0.11756	0	0.72692	0.09085	0
V415	0.00675	0.04327	0.407	0.48251	0.01218	0.04829
V416	0	0.17896	0	0.357	0.4037	0.06034
V417	0.10198	0	0.05354	0.12299	0	0.7215
V418	0	0.10412	0.48738	0.17353	0.23497	0
V419	0	0.00564	0	0	0	0.99436
V420	0	0	0	0	0	1
V421	0.02175	0.08447	0	0.1241	0.76968	0
V422	0.2027	0.33964	0	0.01704	0.44061	0
V423	0	0.19538	0	0.80462	0	0
V424	0.84437	0.1281	0	0.02752	0	0
V425	0	0.11401	0	0.02498	0.86101	0
V426	0	0.02274	0.19959	0	0	0.77768
