Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V405	0.4253	0.44882	0.05031	0.04195	0.03363	0
V406	0.00499	0.13744	0.16909	0.12078	0.09135	0.47635
V407	0	0.07195	0.75987	0	0	0.16818
V408	0	0.17258	0	0.80315	0	0.02426
V409	0.86205	0.13795	0	0	0	0
V410	0.87388	0.12612	0	0	0	0
V411	0	0.02792	0	0.23223	0	0.73985
V412	0.66543	0.28527	0.00446	0.00909	0.03575	0
V413	0	0.14656	0	0.85344	0	0
V414	0	0.17564	0	0.80522	0.01914	0
V415	0	0.07674	0.34924	0.50853	0	0.06549
V416	0	0.2173	0	0.381	0.33497	0.06674
V417	0	0.05611	0.00148	0.08654	0	0.85587
V418	0	0.14856	0.47887	0.19665	0.17592	0
V419	0	0.02695	0	0	0	0.97305
V420	0	0.00769	0	0	0	0.99231
V421	0	0.13191	0	0.14223	0.72586	0
V422	0.20035	0.3989	0	0.00377	0.39697	0
V423	0	0.21146	0	0.78854	0	0
V424	0.80309	0.19691	0	0	0	0
V425	0	0.15733	0	0.02585	0.81682	0
V426	0	0.04865	0.11371	0	0	0.83765
V427	0.60175	0.22118	0.08903	0.0836	0	0.00445
V428	0.17822	0.13218	0	0.68961	0	0
V429	0	0.06932	0.005	0.81688	0.10881	0
V430	0	0.15796	0.64462	0.16788	0	0.02955
V431	0	0.05269	0.94731	0	0	0
V432	0	0.48982	0	0.51018	0	0
V433	0	0.03546	0	0.96454	0	0
V434	0	0.34172	0.08454	0.57374	0	0
V435	0	0.0506	0	0.0176	0.74193	0.18988
V436	0.80277	0.19723	0	0	0	0
V437	0.26566	0.37389	0.33513	0	0	0.02532
V438	0	0.48916	0	0.10319	0.40766	0
V439	0	0.07273	0	0.04253	0.88474	0
V440	0.08474	0.14326	0.49446	0.06497	0.08319	0.12938
V441	0	0.12772	0.51991	0.10558	0	0.24679
V442	0.53246	0.2159	0.14497	0.01082	0	0.09584
V443	0	0.04802	0	0.95198	0	0
V444	0.85783	0.14217	0	0	0	0
V445	0.87454	0.12546	0	0	0	0
V446	0.00337	0.6737	0.32292	0	0	0
V447	0	0.30279	0	0.21407	0	0.48315
V448	0	0.07723	0.92277	0	0	0
V449	0.63216	0.14392	0	0.22392	0	0
V450	0.03499	0.113	0.85202	0	0	0
V451	0.06088	0.13829	0.08512	0.23791	0.4778	0
V452	0	0.06748	0	0.54142	0	0.39111
V453	0.34183	0.11369	0.52572	0.01876	0	0
V454	0.14022	0.16701	0.01602	0.67675	0	0
V455	0.09104	0.90896	0	0	0	0
V456	0.88729	0.11271	0	0	0	0
V457	0	0.04602	0	0	0.1393	0.81468
V458	0	0.07585	0.47912	0.0154	0.31338	0.11625
V459	0	0.07625	0.61915	0.3046	0	0
V460	0.41034	0.1594	0.22412	0.08575	0	0.12039
V461	0.26983	0.15118	0	0.57104	0	0.00796
V462	0	0.0496	0.9504	0	0	0
V463	0	0.0731	0	0.09476	0.83213	0
