Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V321	0	0.67732	0	0.32268	0	0
V322	0.01985	0.01484	0.04096	0.03612	0.76505	0.12318
V323	0	0.30712	0	0.48621	0.20668	0
V324	0.02721	0.06043	0	0.29239	0.40893	0.21104
V325	0.07986	0.91749	0.00265	0	0	0
V326	0.17909	0.82091	0	0	0	0
V327	0.06414	0.03785	0.89801	0	0	0
V328	0.17449	0.24062	0.17965	0.17903	0.2262	0
V329	0	0.02692	0.63258	0	0.3405	0
V330	0	0.03114	0.96886	0	0	0
V331	0.79722	0.12854	0.01227	0.06197	0	0
V332	0	0.08271	0.14311	0.00261	0.39932	0.37225
V333	0	0.04386	0.51496	0.40443	0.03675	0
V334	0	0.419	0.47944	0.10155	0	0
V335	0.11712	0.0437	0.79537	0	0	0.04381
V336	0.36525	0.63475	0	0	0	0
V337	0.05159	0.22306	0.00061	0.02254	0.70221	0
V338	0.78932	0.07508	0	0	0.1356	0
V339	0.06814	0.11785	0.44217	0.28774	0	0.0841
V340	0.6771	0.30489	0	0.01801	0	0
V341	0.23987	0.09245	0	0.66604	0.00164	0
V342	0	0.02878	0	0.8022	0	0.16902
V343	0.02885	0.17642	0.10704	0	0	0.68768
V344	0	0.72626	0	0.03282	0.13766	0.10325
V345	0	0.0226	0	0.03254	0.94486	0
V346	0.14057	0.04855	0	0.51357	0.29732	0
V347	0.51562	0.1822	0	0.08443	0.21775	0
V348	0.10133	0.16229	0.73025	0.00031	0.00583	0
V349	0.76262	0.14506	0	0.08074	0.01158	0
V350	0.46144	0.0851	0.10356	0.24114	0	0.10876
V351	0.10833	0.08275	0.002	0	0	0.80692
V352	0	0.35981	0	0	0.28219	0.35799
V353	0	0.17228	0.82772	0	0	0
V354	0.10957	0.07007	0.2499	0	0.2942	0.27627
V355	0	0.04898	0.95102	0	0	0
V356	0.57463	0.17227	0	0.2531	0	0
V357	0.32378	0.05834	0.42916	0.00119	0.18752	0
V358	0	0	0.03019	0	0	0.96981
V359	0.11147	0.12888	0	0.74023	0.01942	0
V360	0.53052	0.05817	0	0.22263	0.18868	0
