"gene_symbol","Monocytes","Neutrophils","B_cells","NK_cells","T_cells_CD4.","Macrophages",,,,,,,,,,,"Plasma_cells_CD138.","Platelets","Reticulocytes","Subcutaneous_Adipose","T_cells_CD3.",,"T_cells_CD8.","T_cells_Gamma_Delta","T_cells_Regulatory","Vascular_Endothelial_Cells"
"ACAD8",45.144961,39.4384,45.765225,51.710481,49.028004,47.279376,,,,,,,,,,,44.662489,27.646564,19.105641,51.796809,42.3801,,50.353216,60.762025,36.869184,54.715609
"ACAD9",35.700625,25.694761,36.433296,36.156169,36.578304,39.112516,,,,,,,,,,,35.366809,33.663204,35.473936,38.402809,33.860761,,34.656769,39.778249,36.264484,37.810201
"ACADL",14.784025,16.3216,14.402025,15.062161,15.1321,14.884164,,,,,,,,,,,16.2409,16.120225,19.044496,52.186176,15.217801,,15.382084,15.085456,14.969161,14.394436
"ACADM",67.420521,35.676729,97.851664,83.1744,82.537225,87.553449,,,,,,,,,,,82.682649,85.729081,16.842816,99.520576,74.321641,,71.351809,96.059601,66.814276,81.613156
"ACADS",42.536484,36.012001,40.0689,40.551424,43.573201,48.316401,,,,,,,,,,,44.7561,42.224004,48.135844,51.437584,44.408896,,41.641209,41.113744,43.059844,48.818169
"ACADSB",27.751824,23.677956,36.954241,44.275716,43.612816,33.547264,,,,,,,,,,,33.8724,27.008809,21.827584,42.458256,36.348841,,38.675961,37.970244,40.119556,33.8724
"ACADVL",90.8209,69.405561,82.519056,79.512889,81.432576,99.341089,,,,,,,,,,,87.6096,69.956496,54.213769,103.897249,76.247824,,79.281216,82.791801,74.373376,90.345025
"ACAN",28.121809,30.647296,26.460736,27.060804,27.206656,28.132416,,,,,,,,,,,27.973521,32.080896,38.700841,25.8064,27.9841,,27.154521,27.510025,29.735209,25.928464
"ACAP1",43.191184,50.013184,57.289761,48.664576,58.049161,35.295481,,,,,,,,,,,41.024025,45.171841,44.916804,33.64,58.140625,,56.25,58.476609,59.892121,27.657081
"ACAP2",51.051025,72.063121,50.481025,48.469444,45.118089,48.594841,,,,,,,,,,,33.7561,34.833604,16.112196,38.155329,42.146064,,45.873529,45.104656,43.362225,39.879225
"ACAP3",39.664804,35.153041,37.136836,34.363044,38.862756,36.917776,,,,,,,,,,,39.803481,24.127744,35.509681,43.335889,36.457444,,37.393225,41.873841,40.691641,40.094224
"ACAT1",25.010001,18.939904,28.015849,26.615281,28.858384,29.550096,,,,,,,,,,,30.206016,19.695844,19.131876,37.564641,28.047616,,28.483569,33.362176,28.238596,34.070569
"ACAT2",50.140561,45.778756,61.246276,71.334916,64.384576,70.207641,,,,,,,,,,,44.997264,39.765636,25.796241,50.2681,60.047001,,58.094884,91.240704,64.288324,75.064896
"ACBD3",67.174416,56.5504,76.580001,71.098624,64.064016,69.572281,,,,,,,,,,,73.153809,48.497296,26.142769,70.862724,60.730849,,61.873956,68.310225,68.442529,67.782289
"ACBD4",39.727809,38.365636,46.771921,38.241856,45.711121,38.613796,,,,,,,,,,,46.553329,43.2964,50.537881,46.977316,45.805824,,43.864129,44.408896,42.029289,40.144896
"ACBD5",50.794129,44.262409,49.294441,63.409369,48.4416,57.289761,,,,,,,,,,,42.224004,32.729841,18.190225,50.1264,43.612816,,51.022449,57.547396,47.210641,51.681721
"ACBD6",49.238289,32.103556,59.197636,57.820816,60.575089,49.350625,,,,,,,,,,,53.392249,43.125489,27.436644,55.308969,56.685841,,58.690921,78.004224,59.490369,75.759616
"ACCN1",28.815424,31.348801,25.030009,23.892544,26.563716,29.5936,,,,,,,,,,,30.969225,32.695524,49.322529,23.444964,27.468081,,25.280784,27.489049,26.091664,25.441936
"ACCN2",32.251041,33.7561,28.323684,30.404196,31.225744,31.315216,,,,,,,,,,,34.668544,39.400729,49.294441,29.877156,31.036041,,32.478601,31.483321,33.051001,28.955161
"ACCN3",18.464209,18.610596,19.342404,16.883881,19.027044,19.998784,,,,,,,,,,,18.800896,18.301284,37.429924,17.189316,19.456921,,19.333609,17.355556,19.963024,17.783089
"ACCN4",35.034561,34.821801,31.843449,28.751044,31.449664,33.2929,,,,,,,,,,,36.929929,41.280625,47.761921,31.573161,37.112464,,31.606884,30.880249,34.351321,28.227969
"ACCN5",13.366336,14.055001,13.351716,13.9129,12.974404,13.097161,,,,,,,,,,,12.859396,14.630625,13.853284,11.923209,12.787776,,13.242321,13.454224,13.089924,12.6736
"ACCS",49.056016,47.997184,61.230625,46.662561,52.881984,48.902049,,,,,,,,,,,42.159049,65.076489,39.337984,66.145689,49.5616,,53.714241,33.154564,63.856081,48.874081
