gene_symbol,ACD,ACN,ALO,ATD,BCC,BU,CHA,DLE,ENL,ICD,LL,MEL,MF,NS,PS,RR,SAR,SCC,SJS,WA,WPO
PLEKHG4B,24.289,27.187,57.850,22.293,73.340,27.267,25.283,62.629,35.925,20.823,28.404,29.311,28.030,23.048,26.736,21.293,24.813,28.035,29.220,24.900,25.709
PLEKHG5,80.561,65.563,64.290,108.398,55.993,72.578,61.050,59.843,54.067,169.068,45.129,47.021,52.982,86.995,71.114,55.286,55.760,69.550,66.690,48.267,45.286
PLEKHG6,68.289,105.540,57.280,98.745,75.927,69.611,51.183,38.957,59.233,158.945,50.321,70.800,59.755,85.121,79.235,58.643,46.953,95.690,49.280,119.850,88.891
PLEKHH1,97.289,119.281,190.530,207.652,60.023,61.594,59.425,119.236,35.975,167.468,32.125,237.246,22.548,161.271,59.184,33.307,274.793,58.750,36.410,169.308,59.795
PLEKHH2,61.248,38.149,53.213,85.606,34.589,20.663,25.267,33.248,14.556,17.973,24.224,41.702,16.279,67.037,31.974,23.181,108.713,16.727,13.453,76.472,33.758
PLEKHH3,73.722,78.201,65.770,84.645,63.880,66.217,45.850,58.943,40.817,97.050,44.146,47.939,59.316,67.973,81.263,55.071,36.387,65.900,66.040,80.825,66.127
PLEKHJ1,284.511,255.011,175.360,388.555,258.913,269.156,183.400,148.743,289.767,322.764,177.321,226.971,412.773,228.646,245.046,154.671,334.753,268.120,446.720,268.733,282.891
PLEKHM1,195.417,241.166,124.790,274.632,160.773,266.994,152.958,167.450,224.342,438.255,171.182,159.764,134.825,223.257,208.709,136.986,207.713,172.745,375.670,219.400,237.795
PLEKHM2,230.700,215.651,73.160,349.441,274.787,382.767,266.367,69.314,261.917,279.773,320.564,231.786,211.077,263.993,291.849,370.014,91.127,328.270,490.640,237.500,283.200
PLEKHM3,42.639,70.349,72.480,79.325,71.267,50.267,86.700,47.336,62.417,137.105,99.268,57.446,58.989,79.871,49.754,85.121,181.827,65.915,48.330,76.600,68.086
PLEKHN1,113.856,118.477,370.500,105.077,39.187,93.767,131.417,438.157,135.983,82.118,92.714,55.721,82.459,85.782,83.484,76.414,104.307,49.840,101.320,83.900,84.618
PLEKHO1,257.311,152.795,85.020,99.245,146.633,215.389,116.433,120.157,43.833,37.173,94.979,154.343,513.082,81.521,104.481,138.457,336.107,88.410,977.340,166.183,291.200
PLEKHO2,255.133,269.560,101.680,199.368,143.587,310.300,260.900,146.129,253.350,128.173,464.314,400.914,381.186,151.132,177.977,435.857,415.000,140.180,1098.760,250.417,408.491
PLG,24.685,20.671,23.380,23.959,29.316,22.789,22.406,23.138,23.772,27.455,28.640,34.190,31.024,25.464,26.164,32.114,15.702,28.653,28.453,22.528,21.670
PLGLA /// PLGLB1 /// PLGLB2,17.922,20.315,22.700,29.786,29.553,19.667,17.600,61.257,26.650,23.045,16.164,13.786,14.868,29.332,20.067,13.629,96.773,24.620,34.580,21.717,22.418
PLGLB1 /// PLGLB2,24.911,20.047,15.260,44.805,21.347,27.900,16.817,37.071,16.100,24.636,12.064,15.271,17.486,33.611,18.067,12.214,111.527,19.980,38.680,24.467,23.236
PLGLB2,15.700,15.422,19.870,24.257,16.900,15.456,19.575,34.014,14.817,20.805,14.232,16.318,17.120,19.216,13.559,14.550,55.203,15.600,22.860,21.017,16.473
PLIN1,362.778,610.645,272.980,289.964,40.627,53.944,1184.900,124.814,101.517,56.627,123.629,86.114,53.486,705.954,154.870,166.314,223.327,46.830,49.720,2046.700,232.027
PLIN2,433.667,1058.434,790.120,192.184,226.660,721.756,443.925,254.279,627.692,196.445,545.086,374.496,257.830,490.816,274.364,435.157,287.483,264.405,1341.780,622.617,605.032
PLIN3,808.300,1422.898,501.320,786.827,615.907,973.567,716.967,331.414,655.767,485.927,355.157,487.614,589.700,672.068,737.082,337.386,315.887,911.210,770.720,641.317,1019.782
PLIN4,214.589,218.351,230.260,171.750,53.500,62.478,163.617,150.357,94.417,82.327,81.171,103.643,73.809,370.079,153.519,80.857,85.920,63.740,76.400,514.350,100.573
PLIN5,57.206,92.538,121.073,61.395,55.863,54.407,57.394,132.974,64.269,60.192,54.388,76.249,67.128,75.141,73.362,58.050,30.263,65.223,73.557,67.144,52.435
PLK1,42.422,33.244,48.000,47.941,48.987,117.278,29.133,50.971,18.967,53.764,24.800,48.164,122.118,29.682,58.359,32.414,52.867,79.660,73.420,23.717,41.845
PLK1S1,130.325,170.406,90.925,145.260,197.655,138.978,124.092,55.989,171.921,111.345,179.318,175.273,90.868,164.601,189.247,120.104,162.363,194.805,187.305,213.612,178.716
PLK2,326.411,573.720,386.180,469.786,456.980,759.500,911.250,141.386,150.817,456.145,154.136,285.407,94.164,507.014,670.908,214.914,258.647,898.350,21.600,479.817,815.173
PLK3,73.085,80.262,95.247,65.642,62.531,103.793,72.939,97.943,73.050,205.655,67.029,72.879,75.742,75.224,85.645,58.167,46.691,73.013,117.627,53.656,67.879
PLK4,22.315,24.356,21.400,41.779,38.738,37.756,20.839,20.967,20.578,34.448,22.781,29.717,71.323,25.840,30.236,23.181,66.576,41.833,33.847,24.656,58.355
PLK5P,49.678,36.018,41.300,40.141,46.173,38.733,35.667,38.114,42.467,56.327,39.929,54.907,56.486,45.054,47.702,38.743,22.073,49.310,48.060,35.500,35.355
PLLP,124.478,116.775,91.070,144.464,40.767,75.672,97.992,43.307,42.367,299.982,54.693,55.339,32.407,218.023,97.673,99.957,72.300,61.200,24.200,119.383,46.550
PLN,94.586,72.433,36.370,85.173,10.555,17.853,28.504,34.232,40.267,10.602,51.123,26.698,17.368,161.752,88.936,40.957,65.103,10.863,11.720,404.729,115.039
PLOD1,209.678,198.431,116.600,189.495,186.480,357.400,112.033,98.214,206.217,117.427,139.779,406.086,175.855,168.114,162.482,132.657,215.507,186.970,247.880,262.933,343.818
PLOD2,186.133,149.173,63.800,102.245,91.853,153.367,291.517,48.093,505.250,61.918,130.075,130.418,85.643,130.136,138.556,112.893,220.590,195.505,20.500,329.800,391.518
PLOD3,598.100,438.238,108.820,525.568,357.740,841.100,403.483,116.171,818.350,337.518,714.457,2179.679,595.455,413.318,365.900,845.529,226.873,294.020,633.840,405.150,581.645
PLP1,104.444,187.001,75.000,103.209,96.867,36.478,103.600,24.257,24.200,218.355,45.679,451.479,21.518,245.804,179.171,98.571,95.213,43.570,16.540,209.083,51.336
PLP2,2604.356,2014.117,2372.220,2610.441,1610.780,2968.689,2348.517,1922.171,521.550,2601.918,800.900,1374.114,1810.677,2631.639,3247.613,960.271,1913.680,2251.440,1597.480,1075.617,1751.345
PLRG1,282.550,357.157,162.260,171.968,247.077,266.139,459.625,158.129,176.992,151.777,219.379,178.018,242.127,213.191,312.385,189.021,435.797,288.490,187.270,319.200,376.423
PLS1,33.533,62.056,25.740,80.568,77.873,50.011,73.917,19.643,33.500,70.627,100.293,50.371,39.477,67.100,78.992,82.000,47.753,102.710,20.020,121.450,105.809
PLS3,2500.378,2587.521,1617.140,2899.645,2333.827,2251.789,3000.483,1302.900,1763.850,2820.427,1392.150,1762.071,723.400,3177.218,3047.645,1269.400,1276.060,3072.670,727.760,3875.683,3670.473
PLSCR1,587.237,488.592,131.713,279.455,224.556,595.556,1515.428,870.652,817.222,63.879,479.536,371.314,468.839,194.914,444.204,464.310,358.887,429.973,1121.053,347.372,1009.018
PLSCR2,15.744,12.752,12.900,12.891,14.320,14.183,15.542,15.357,14.667,13.900,14.925,16.896,15.766,13.584,15.229,14.243,11.160,14.585,17.410,13.525,13.977
PLSCR3,568.194,646.885,441.440,917.259,1088.160,813.783,351.858,500.829,974.117,416.832,505.868,764.689,820.298,526.373,717.055,485.436,149.713,835.890,470.090,567.350,892.832
PLSCR4,362.811,461.701,304.040,456.895,209.527,194.711,641.983,199.614,228.733,83.482,418.450,241.621,80.882,554.061,405.525,384.100,400.807,192.040,17.400,1271.417,446.618
PLTP,560.244,960.278,290.540,511.805,265.193,1633.489,256.267,386.971,122.633,390.200,130.500,620.093,912.809,468.746,646.384,221.429,711.647,462.590,963.880,317.467,524.809
PLUNC,28.856,29.502,22.600,49.345,59.447,33.167,34.683,28.457,40.867,60.291,62.843,74.957,47.473,44.479,39.003,65.929,9.120,61.240,45.060,32.417,31.173
PLVAP,286.178,361.450,215.200,447.827,132.493,450.289,98.650,226.871,153.850,75.091,95.893,237.464,268.482,266.607,259.073,164.614,169.487,150.720,63.460,281.250,260.709
PLXDC1,75.156,115.184,69.293,137.706,117.084,99.656,94.056,98.971,119.233,51.627,86.457,119.862,127.932,83.224,74.062,81.957,192.707,69.713,43.580,82.856,116.339
PLXDC2,153.011,415.010,781.060,156.795,213.987,207.678,113.550,566.100,147.117,271.273,167.457,100.357,94.195,237.475,392.037,97.971,857.600,376.730,291.440,193.750,262.009
PLXNA1,204.685,219.875,147.393,274.548,243.489,316.159,128.578,141.010,280.844,189.427,247.764,226.586,143.097,170.410,172.332,185.586,166.404,187.270,78.460,175.417,267.303
