Tool-Reference	CellType	Sample	Prediction	Answer	Error	SqError
Cibersort-ImmunoStates	CD8 T Cells	H	0.06596	0.025	0.04096	0.0016777216
Cibersort-ImmunoStates	B Cells	I	0.07056	0.1	0.02944	0.0008667136
Cibersort-ImmunoStates	Monocytes	I	0.63963	0.813	0.17337	0.0300571569
Cibersort-ImmunoStates	NK	I	0.0	0.01	0.01	0.0001
Cibersort-ImmunoStates	Neutrophils	I	0.0	0.001	0.001	1e-06
Cibersort-ImmunoStates	CD4 T Cells	I	0.06262	0.05	0.01262	0.0001592644
Cibersort-ImmunoStates	CD8 T Cells	I	0.06609	0.025	0.04109	0.0016883881
Cibersort-ImmunoStates	B Cells	J	0.01577	0.0	0.01577	0.0002486929
Cibersort-ImmunoStates	Monocytes	J	0.01058	0.0	0.01058	0.0001119364
Cibersort-ImmunoStates	NK	J	0.11386	0.0	0.11386	0.0129640996
Cibersort-ImmunoStates	Neutrophils	J	0.0	0.0	0.0	0.0
Cibersort-ImmunoStates	CD4 T Cells	J	0.75942	1.0	0.24058	0.0578787364
Cibersort-ImmunoStates	CD8 T Cells	J	0.0	0.0	0.0	0.0
Cibersort-ImmunoStates	B Cells	K	0.00635	0.0	0.00635	4.03225e-05
Cibersort-ImmunoStates	Monocytes	K	0.02887	0.0	0.02887	0.0008334769
Cibersort-ImmunoStates	NK	K	0.17553	0.0	0.17553	0.0308107809
Cibersort-ImmunoStates	Neutrophils	K	0.00746	0.0	0.00746	5.56516e-05
Cibersort-ImmunoStates	CD4 T Cells	K	0.2516	0.0	0.2516	0.06330256
Cibersort-ImmunoStates	CD8 T Cells	K	0.46037	1.0	0.53963	0.2912005369
Cibersort-ImmunoStates	B Cells	L	0.02172	0.0	0.02172	0.0004717584
Cibersort-ImmunoStates	Monocytes	L	0.02575	0.0	0.02575	0.0006630625
Cibersort-ImmunoStates	NK	L	0.1095	0.0	0.1095	0.01199025
Cibersort-ImmunoStates	Neutrophils	L	0.01158	0.0	0.01158	0.0001340964
