Tool-Reference	CellType	Sample	Prediction	Answer	Error	SqError
Decon-ImmunoStates	B Cells	HD31PBMC3	0.18032	0.061	0.11932	0.0142372624
Decon-ImmunoStates	NK	HD31PBMC3	0.03951	0.049	0.00949	9.00601e-05
Decon-ImmunoStates	T Cells	HD31PBMC7	0.2114	0.636	0.4246	0.18028516
Decon-ImmunoStates	Monocytes	HD31PBMC7	0.57974	0.144	0.43574	0.1898693476
Decon-ImmunoStates	B Cells	HD31PBMC7	0.17609	0.097	0.07909	0.0062552281
Decon-ImmunoStates	NK	HD31PBMC7	0.03277	0.036	0.00323	1.04329e-05
Decon-LM22	T Cells	HD30PBMC0	0.15981	0.514	0.35419	0.1254505561
Decon-LM22	Monocytes	HD30PBMC0	0.53587	0.155	0.38087	0.1450619569
Decon-LM22	B Cells	HD30PBMC0	0.0	0.043	0.043	0.001849
Decon-LM22	NK	HD30PBMC0	0.30432	0.178	0.12632	0.0159567424
Decon-LM22	T Cells	HD30PBMC1	0.1153	0.457	0.3417	0.11675889
Decon-LM22	Monocytes	HD30PBMC1	0.60239	0.214	0.38839	0.1508467921
Decon-LM22	B Cells	HD30PBMC1	0.0	0.048	0.048	0.002304
Decon-LM22	NK	HD30PBMC1	0.2823	0.168	0.1143	0.01306449
Decon-LM22	T Cells	HD30PBMC3	0.23641	0.58	0.34359	0.1180540881
Decon-LM22	Monocytes	HD30PBMC3	0.49231	0.153	0.33931	0.1151312761
Decon-LM22	B Cells	HD30PBMC3	0.0	0.042	0.042	0.001764
Decon-LM22	NK	HD30PBMC3	0.27128	0.148	0.12328	0.0151979584
Decon-LM22	T Cells	HD30PBMC7	0.25936	0.578	0.31864	0.1015314496
Decon-LM22	Monocytes	HD30PBMC7	0.45587	0.135	0.32087	0.1029575569
Decon-LM22	B Cells	HD30PBMC7	0.00729	0.066	0.05871	0.0034468641
Decon-LM22	NK	HD30PBMC7	0.27747	0.132	0.14547	0.0211615209
Decon-LM22	T Cells	HD31PBMC0	0.30329	0.59	0.28671	0.0822026241
Decon-LM22	Monocytes	HD31PBMC0	0.66199	0.181	0.48099	0.2313513801
Decon-LM22	B Cells	HD31PBMC0	0.00948	0.091	0.08152	0.0066455104
Decon-LM22	NK	HD31PBMC0	0.02524	0.045	0.01976	0.0003904576
Decon-LM22	T Cells	HD31PBMC1	0.33322	0.623	0.28978	0.0839724484
Decon-LM22	Monocytes	HD31PBMC1	0.64913	0.17	0.47913	0.2295655569
Decon-LM22	B Cells	HD31PBMC1	0.01765	0.093	0.07535	0.0056776225
Decon-LM22	NK	HD31PBMC1	0.0	0.034	0.034	0.001156
Decon-LM22	T Cells	HD31PBMC3	0.3429	0.654	0.3111	0.09678321
Decon-LM22	Monocytes	HD31PBMC3	0.64013	0.175	0.46513	0.2163459169
Decon-LM22	B Cells	HD31PBMC3	0.0	0.061	0.061	0.003721
Decon-LM22	NK	HD31PBMC3	0.01697	0.049	0.03203	0.0010259209
Decon-LM22	T Cells	HD31PBMC7	0.33814	0.636	0.29786	0.0887205796
Decon-LM22	Monocytes	HD31PBMC7	0.6038	0.144	0.4598	0.21141604
Decon-LM22	B Cells	HD31PBMC7	0.00015	0.097	0.09685	0.0093799225
Decon-LM22	NK	HD31PBMC7	0.05791	0.036	0.02191	0.0004800481
GEDIT-BLUEPRINT	T Cells	HD30PBMC0	0.4443	0.514	0.0697	0.00485809
GEDIT-BLUEPRINT	Monocytes	HD30PBMC0	0.2021	0.155	0.0471	0.00221841
GEDIT-BLUEPRINT	B Cells	HD30PBMC0	0.1071	0.043	0.0641	0.00410881
GEDIT-BLUEPRINT	NK	HD30PBMC0	0.1915	0.178	0.0135	0.00018225
GEDIT-BLUEPRINT	T Cells	HD30PBMC1	0.4227	0.457	0.0343	0.00117649
GEDIT-BLUEPRINT	Monocytes	HD30PBMC1	0.2273	0.214	0.0133	0.00017689
GEDIT-BLUEPRINT	B Cells	HD30PBMC1	0.1078	0.048	0.0598	0.00357604
GEDIT-BLUEPRINT	NK	HD30PBMC1	0.192	0.168	0.024	0.000576
GEDIT-BLUEPRINT	T Cells	HD30PBMC3	0.4798	0.58	0.1002	0.01004004
GEDIT-BLUEPRINT	Monocytes	HD30PBMC3	0.1808	0.153	0.0278	0.00077284
GEDIT-BLUEPRINT	B Cells	HD30PBMC3	0.1142	0.042	0.0722	0.00521284
GEDIT-BLUEPRINT	NK	HD30PBMC3	0.1733	0.148	0.0253	0.00064009
