"gene_symbol","Neutrophils","T_cells_Gamma_Delta","Monocytes","Macrophages","T_cells_CD4.","Fibroblasts","Keratinocytes","Blood_CD34._cells","Vascular_Endothelial_Cells","Platelets"
"CNTLN",14.485636,13.024881,19.927296,20.376196,13.446889,21.752896,15.936064,27.217089,22.648081,15.816529
"CNTN1",15.665764,14.205361,14.945956,14.961424,14.432401,15.272464,32.878756,15.21,14.714896,15.952036
"CNTN2",28.217344,23.892544,26.224641,25.735329,25.623844,24.840256,25.371369,24.730729,23.580736,28.387584
"CNTN3",11.964681,10.929636,11.068929,11.303044,10.751841,78.446449,13.2496,11.082241,10.214416,11.689561
"CNTN4",13.586596,13.191424,12.837889,12.802084,12.299049,12.383361,13.147876,12.503296,11.950849,15.225604
"CNTN5",12.616704,11.923209,12.659364,12.574116,12.616704,12.588304,12.581209,12.581209,12.524521,13.213225
"CNTN6",13.483584,12.988816,13.388281,13.227769,13.0321,13.579225,13.564489,13.512976,13.213225,13.017664
"CNTNAP1",30.492484,25.341156,27.133681,29.062881,30.780304,56.220004,27.029601,25.371369,54.597321,32.49
"CNTNAP2",20.820969,18.421264,19.775809,19.678096,17.986081,18.190225,21.930489,18.429849,19.140625,24.492601
"CNTNAP3",37.859409,12.215025,13.046544,12.859396,12.103441,12.215025,20.367169,12.503296,39.287824,14.577124
"CNTNAP3B",17.5561,12.496225,13.557124,13.608721,13.293316,14.002564,15.000129,13.823524,28.590409,14.040009
"CNTNAP4",18.567481,16.345849,16.851025,17.081689,16.459249,16,15.912121,15.713296,15.984004,17.147881
"CNTNAP5",21.409129,18.096516,19.927296,20.151121,19.430464,18.224361,17.9776,18.671041,18.550249,22.953681
"CNTROB",36.7236,39.740416,38.663524,37.442161,35.940025,36.796356,35.940025,36.156169,34.468641,49.617936
"COASY",63.473089,73.256481,68.3929,70.610409,73.170916,69.189124,79.9236,74.615044,69.422224,62.599744
"COBL",20.097289,16.851025,18.344089,21.446161,18.113536,17.205904,42.302016,18.809569,17.255716,18.507204
"COBLL1",16.491721,14.607684,16.760836,16.524225,14.953689,23.863225,30.547729,20.043529,21.215236,17.64
"COBRA1",44.635761,74.425129,56.896849,58.415449,63.552784,65.529025,73.479184,67.634176,71.301136,47.679025
"COCH",29.062881,30.1401,29.746116,28.912129,30.217009,32.126224,31.460881,46.3761,39.513796,23.7169
"COG1",27.552001,29.691601,26.915344,26.780625,29.278921,29.855296,27.331984,26.327161,30.547729,22.819729
"COG2",25.959025,43.850884,37.810201,38.241856,45.792289,34.386496,38.44,40.386025,34.281025,32.410249
"COG3",28.015849,44.568976,34.093921,32.809984,37.675044,36.590401,35.105625,33.744481,36.808489,19.061956
"COG4",52.794756,71.825625,61.716736,64.6416,70.140625,72.063121,77.316849,71.166096,74.183769,54.834025
"COG5",40.589641,60.886809,49.632025,51.480625,51.294244,57.486724,59.228416,49.406841,58.400164,31.181056
"COG6",18.671041,31.192225,23.775376,27.405225,29.648025,34.833604,32.171584,30.382144,32.512804,21.7156
"COG7",33.0625,56.295009,42.536484,46.24,49.787136,51.652969,51.868804,48.916036,55.249489,33.965584
"COIL",40.309801,64.336441,50.537881,45.738169,53.071225,52.475536,62.031376,55.696369,54.893281,29.658916
"COL10A1",19.421649,19.0096,19.963024,18.757561,19.0096,23.512801,18.020025,18.800896,17.5561,54.228496
"COL11A1",15.0544,12.96,13.927824,13.520329,13.169641,42.237001,14.776336,13.505625,12.369289,15.547249
"COL11A2",43.322724,34.798201,38.241856,38.378025,36.036009,35.307364,33.097009,34.515625,32.982049,40.373316
"COL12A1",15.729156,13.5424,14.969161,14.945956,14.953689,83.283876,29.419776,14.784025,20.052484,17.682025
"COL13A1",29.953729,26.275876,27.709696,27.478564,26.409321,49,28.472896,26.296384,43.217476,32.2624
"COL14A1",15.984004,15.186609,15.171025,15.864289,14.845609,21.883684,14.768649,15.413476,14.371681,18.156121
"COL15A1",15.217801,26.081449,14.861025,20.133169,12.082576,72.284004,11.128896,12.616704,16.859236,12.567025
"COL16A1",27.920656,33.039504,31.326409,28.751044,29.767936,82.573569,69.605649,30.404196,30.891364,45.941284
"COL17A1",29.877156,25.969216,27.2484,26.122321,24.880144,27.019204,82.065481,24.2064,26.8324,29.855296
"COL18A1",58.614336,31.102929,31.911201,29.800681,39.450961,51.437584,52.809289,36.529936,89.434849,32.775625
"COL19A1",19.044496,18.130564,17.288964,17.322244,16.337764,16.670889,16.378209,16.736281,15.147664,18.284176
"COL1A1",25.948836,21.883684,23.804641,26.790976,24.2064,110.166016,39.866596,23.590449,37.319881,29.517489
"COL1A2",24.127744,21.141604,22.193521,23.571025,22.297284,151.0441,24.780484,23.116864,37.785609,25.644096
"COL20A1",22.212369,20.358144,21.279769,21.325924,20.097289,19.963024,19.811401,20.539024,18.852964,25.623844
"COL21A1",16.144324,15.389929,14.5924,15.015625,14.0625,25.170289,24.940036,15.233409,19.998784,15.108769
"COL22A1",24.820324,21.977344,23.203489,34.386496,21.752896,20.875761,25.331089,20.820969,21.743569,25.5025
