gene_symbol	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells
GNLY	28.922884	23.677956	25.6036	19.678096	19.989841	21.16	20.304036	29.571844	39.538944	169.078009	46.977316	21.372129	57.9121	28.987456	31.337604	80.317444	48.5809	110.691441	99.460729	29.909961	19.873764
GPAM	35.712576	42.25	25.110121	28.100601	45.684081	41.718681	28.249225	29.170801	22.733824	41.783296	16.826404	27.857284	20.439441	20.748025	147.209689	30.791401	33.547264	32.890225	38.142976	37.638225	36.3609
GPC4	21.086464	19.079424	32.058244	27.384289	36.469521	22.829284	20.331081	58.629649	24.216241	19.131876	21.446161	20.857489	23.290276	25.190361	36.264484	19.598329	19.412836	20.223009	17.749369	20.394256	18.740241
GPNMB	13.410244	23.184225	78.588225	14.227984	82.482724	84.934656	33.443089	112.021056	33.895684	13.741849	14.1376	25.452025	16.337764	19.1844	80.946009	12.8881	13.905441	14.638276	21.316689	12.194064	12.981609
GPR109B	20.738916	34.023889	70.795396	33.790969	17.164449	73.496329	34.680321	73.085401	72.914521	25.472209	154.0081	22.905796	28.965924	30.162064	61.089856	28.068804	24.364096	23.843689	15.413476	18.335524	16.056049
GPR160	80.389156	47.858724	71.5716	93.431556	16.703569	17.214201	20.178064	49.084036	64.577296	43.191184	97.397161	103.469584	42.458256	19.245769	44.528929	41.024025	54.582544	43.270084	31.371201	29.9209	33.431524
GPR18	92.640625	23.116864	18.088009	15.452761	12.152196	12.787776	12.574116	17.960644	33.686416	73.582084	25.080064	14.273284	62.694724	15.272464	14.776336	76.440049	64.883025	67.256401	80.317444	44.983849	12.054784
GPR183	78.801129	55.011889	92.371321	89.927289	17.397241	17.3056	19.838116	59.660176	82.283041	56.355049	57.547396	26.306641	61.136761	30.415225	32.787076	93.489561	94.828644	72.403081	42.837025	87.628321	22.306729
GPR19	21.141604	24.1081	21.706281	27.071209	21.279769	20.729809	18.429849	24.186724	22.353984	30.669444	31.036041	34.833604	27.185796	47.430769	20.784481	32.216976	41.757444	27.2484	49.491225	54.789604	22.743361
GPR82	14.884164	12.545764	17.073424	62.394201	11.115556	11.276164	11.282881	18.079504	16.088121	20.025625	21.631801	11.209104	13.227769	12.837889	11.095561	13.068225	11.587216	12.723489	14.047504	12.201049	10.9561
GPR84	17.589636	28.419561	33.120025	18.096516	18.173169	19.4481	16.040025	54.671236	59.428681	26.708224	54.420129	22.600516	20.866624	31.505769	16.916769	20.912329	22.363441	20.638849	23.001616	18.224361	18.003049
GPR87	13.593969	13.300609	13.845841	15.007876	12.845056	93.373569	18.49	13.351716	13.69	13.756681	15.405625	13.439556	15.649936	13.111641	12.873744	14.424804	14.273284	13.417569	12.5316	14.152644	13.126129
GPR97	23.853456	28.869129	26.142769	73.085401	23.863225	23.030401	34.821801	25.664356	34.880836	40.666129	99.082116	25.583364	26.666896	40.373316	23.785129	27.583504	24.9001	25.755625	27.04	25.694761	33.097009
GPRC5D	30.658369	27.920656	31.550689	38.950081	30.935844	27.941796	26.163225	33.350625	33.074001	32.364721	36.276529	92.102409	32.993536	45.118089	26.615281	29.658916	30.503529	30.503529	28.472896	27.7729	29.343889
GPRIN3	12.299049	12.545764	20.757136	10.400625	10.6929	10.870209	11.6964	31.393609	18.524416	33.698025	12.666481	14.0625	13.823524	11.916304	11.062276	20.385225	26.337424	22.648081	52.925625	20.675209	11.785489
GPX8	13.264164	13.278736	14.356521	21.734244	103.530625	43.256929	34.1056	15.594601	13.512976	14.025025	15.163236	17.614809	19.228225	22.600516	61.261929	12.418576	13.024881	14.9769	12.666481	13.155129	65.836996
GRB14	14.455204	13.980121	12.709225	15.960025	16.826404	22.458121	23.609881	12.574116	14.891881	12.047841	13.712209	16.136289	100.942209	17.405584	21.846276	13.3225	12.376324	13.868176	11.363641	12.866569	33.674809
