Symbol	A	B	C	D	E	F	G	H	I	J	K	L
TMEM141	136.253052	133.643402	121.693695	129.752945	123.28846	142.824753	131.458939	143.385162	137.969193	123.796745	116.49926	118.33419
FOXL1	19.558254	20.562037	21.045967	23.419596	33.237698	28.584778	28.783035	17.612492	38.123035	37.576279	17.404581	21.867189
PCDHA6	15.031236	11.317167	21.915485	19.06794	17.003098	14.92732	12.312949	13.708453	18.079971	19.513277	14.949775	12.288632
TMEM149	215.656738	200.997345	203.627594	205.129578	190.441925	189.167297	238.463898	216.802948	221.154984	214.939148	180.135391	203.221771
TMEM148	15.258519	14.639459	22.343431	17.604351	18.716854	22.71703	33.606319	14.952898	32.367603	17.317263	27.461823	30.586365
PCDHA4	15.267319	11.665278	21.329859	31.454636	23.840694	24.040892	23.98818	25.788975	23.734528	36.083786	24.632305	35.043392
LOC646573	20.576809	20.682903	21.090689	28.154301	24.740496	20.443459	19.253086	29.332521	26.07342	25.32445	24.379208	20.298822
LOC646572	39.62973	40.840775	35.788738	26.743505	32.367668	39.486668	32.338402	34.197746	40.115032	25.473232	42.801212	31.505392
LOC134541	27.066383	21.235987	22.702085	31.013186	14.183977	17.985229	20.961468	38.207081	22.808884	24.340223	19.546082	15.392165
RTKN2	20.278254	16.505869	32.669514	31.472145	14.7763	21.870094	19.450157	19.316629	23.694458	28.918489	15.652606	26.354877
LOC646576	20.36343	21.663572	11.573786	13.150826	11.632208	29.580721	29.251194	21.584702	16.272909	14.462034	19.523157	22.852888
LOC646575	9.680451	16.973089	18.672523	12.868113	13.924271	15.270078	17.487724	13.239827	12.842077	28.87952	17.431982	13.899992
LOC646574	21.570557	23.464073	27.612701	26.181536	22.730341	17.326527	28.450754	36.740009	37.641457	18.440134	17.229893	29.116398
FAM32A	228.851746	221.08049	226.923615	219.554184	241.153442	249.211868	221.014008	222.021454	224.976486	231.360748	228.646713	199.601318
PCDHA8	18.766233	8.576454	10.941957	11.260242	10.457606	8.000546	12.206546	10.205289	28.413397	13.564391	13.882176	16.979214
FER1L6	30.162817	20.906	35.075169	19.120466	16.541193	9.928063	21.416162	18.209303	19.153509	25.843845	31.490465	31.146429
FER1L4	16.503429	17.194195	21.230644	19.501736	12.759261	20.34956	24.994364	16.021927	17.610716	26.935427	22.077528	23.759359
FER1L5	30.543186	21.406464	26.279713	34.553467	31.32748	18.034466	33.008373	39.476768	37.887394	40.63773	34.083176	35.095959
FER1L3	87.727211	89.24855	25.385439	30.148993	45.532436	57.311184	103.551323	137.391541	138.43956	20.088036	12.821995	19.865801
ZMAT1	22.863682	25.02914	21.501593	18.58745	25.78912	21.136507	18.532003	18.803133	35.001865	16.915979	27.902691	26.360851
ZMAT3	426.057251	486.31012	609.76123	635.577209	545.456543	538.246155	448.546753	216.003082	198.151382	593.815002	593.815002	551.806335
ZMAT2	206.704712	213.626251	218.987869	224.083893	220.42395	211.427826	199.930634	193.338394	185.476028	220.036148	225.26651	215.877258
ZMAT5	133.672119	127.590446	122.394508	112.948975	121.784882	140.598633	129.473251	141.835342	139.069763	121.243881	119.215912	130.660721
ZMAT4	31.426172	36.087101	28.184067	11.748181	25.650185	55.071754	18.790106	30.774288	17.263792	16.122129	15.250805	21.730539
MYBL1	59.22393	57.343575	60.254139	59.029758	74.491119	99.058914	42.813133	22.244438	21.328131	66.920166	81.604149	60.954899
SMOC2	15.922706	16.261311	19.077536	25.0343	17.359785	19.413004	16.793154	30.61108	17.242493	22.601635	20.182386	12.241693
SMOC1	17.621027	23.598318	22.517281	18.743982	20.276272	17.361496	22.019484	32.022079	32.972591	25.706272	29.186817	27.387806
MYBL2	33.800255	30.97661	21.914755	40.11496	14.695858	24.621115	20.224354	26.001301	24.131771	30.096157	29.835835	14.906259
LOC650167	21.303877	24.336571	18.849775	21.046518	22.081537	24.786781	23.278608	36.944424	27.931629	37.199341	22.589638	15.430299
