CD56NK	CD4MemoryT	CD19B	CD14
V557	0.84078	0.00647	0.00171	0.15104
V558	0.07906	0.76708	0.02449	0.12937
V559	0.02497	0.79015	0.18488	0
V560	0.72706	0.27294	0	0
V561	0.01934	0.03411	0.93337	0.01318
V562	0.81233	0	0.09379	0.09388
V563	0.2507	0.01147	0.73115	0.00668
V564	0.06007	0.06237	0.86226	0.0153
V565	0.1295	0.21257	0.38604	0.27189
V566	0.7211	0.05789	0	0.22101
V567	0.23167	0.391	0.01995	0.35738
V568	0.21744	0	0.04983	0.73273
V569	0.67619	0.00617	0	0.31764
V570	0.02837	0.24915	0.65247	0.07001
V571	0.85894	0.08571	0	0.05535
V572	0.46052	0	0.43437	0.10511
V573	0.0586	0.11677	0.01493	0.8097
V574	0.04699	0.7832	0.16412	0.00569
V575	0.02292	0.04443	0.11392	0.81872
V576	0.17335	0.78905	0.03284	0.00476
V577	0.03662	0.01763	0.19329	0.75247
V578	0.05256	0.04408	0.69416	0.20919
V579	0.01989	0.87946	0.08673	0.01392
V580	0.13067	0	0.10043	0.76889
V581	0.06105	0.04744	0.01926	0.87225
V582	0.60837	0.09911	0.02167	0.27085
V583	0.00788	0.0265	0.58078	0.38484
V584	0.56785	0.1177	0.28189	0.03256
V585	0.00978	5e-04	0.4212	0.56852
V586	0.23464	0.00733	0.65877	0.09926
V587	0.26923	0.01208	0.68967	0.02902
V588	0.63231	0.01586	0.01584	0.33599
V589	0.06828	0.81184	0.05805	0.06183
V590	0.05994	0.75665	0.1834	0
V591	0.00833	0.01521	0.18659	0.78988
V592	0.16867	0.03743	0.79065	0.00325
V593	0.58827	0	0.16126	0.25047
V594	0.37232	0.24932	0.33469	0.04367
V595	0.0311	0.01394	0.03827	0.91668
V596	0.0378	0.21658	0.21703	0.52858
V597	0.00783	0.55698	0.34543	0.08976
V598	0.02413	0.09562	0.86476	0.01548
V599	0.68254	0.27612	0.02127	0.02007
V600	0.39585	0.4344	0.0404	0.12936
V601	0.16091	0.2103	0.07247	0.55632
V602	0.03238	0.01522	0.03323	0.91918
V603	0.01851	0.29674	0.0162	0.66855
V604	0.55725	0.08594	0.33325	0.02356
V605	0.07188	0.28082	0.41409	0.23321
V606	0.77443	0.10783	0.00128	0.11646
V607	0.66233	0	0.08969	0.24798
V608	0.22878	0.11842	0.38728	0.26552
V609	0.02906	0.17349	0.22448	0.57297
V610	0.80256	0.00173	0.07095	0.12476
V611	0.25934	0	0.04742	0.69324
V612	0.02668	0.06866	0.83268	0.07197
V613	0.03804	0.29721	0.62656	0.03819
V614	0.79944	0.03156	0.03332	0.13568
V615	0.11736	0.02653	0.01939	0.83672
V616	0.09009	0.67779	0.03882	0.19331
V617	0.50767	0.13225	0.36008	0
V618	0.71157	0	0	0.28843
V619	0.38836	0.01266	0.30226	0.29672
