Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V192	0.0042	0.00109	0.07301	0	0.40168	0	0	0.01464	0	0.50539
V193	0.10582	0.04347	0.18188	0.33526	0.10496	0.03086	0.08821	0.10163	0.00791	0
V194	0	0.02333	0	0.00344	0	0.76895	0.15874	0.036	0.00954	0
V195	0.03999	0.12808	0	0	0.04103	0.25226	0.40931	0.09193	0.03288	0.00451
V196	0.79822	0.00112	0	0.18866	0	0.00722	0	0.0048	0	0
V197	0.03355	0.02439	0.00127	0.23141	0	0	0	0.50948	0.19991	0
V198	0.01638	0.01025	0.03486	0	0.6421	0.24941	0.02078	0	0.02623	0
V199	0.03146	0.04263	0.10485	0	0.39192	0.03027	0.10022	0.00464	0	0.29401
V200	0.0152	0.02821	0.01133	0	0.48241	0.15914	0.1658	0.13791	0	0
V201	0.22898	0.07903	0.00341	0	0	0.01395	0.07101	0.00979	0.58461	0.00922
V202	0.06198	0.25918	0.51646	0	0.05018	0.00998	0.05289	0.01389	0.03543	0
V203	0.03903	0.08941	0.41685	0.12186	0	0.02925	0.0707	0.00607	0.22683	0
V204	0.02937	0.17356	0.2788	0.3038	0.0316	0.08854	4e-05	0.09428	0	0
V205	0.05832	0.14213	0	0	0	0.13239	0.42714	0.11463	0.12539	0
V206	0.35588	0	0.63583	0	0	0	0	0	0	0.00829
V207	0.01795	0.1479	0.06622	0.06967	0.15867	0	0	0	0.21744	0.32214
V208	0.00558	0.00837	0.00134	0.06777	0	0.77213	0.04527	0.01634	0.07459	0.0086
V209	0.05655	0	0.10363	0	0.83925	0.00056	0	0	0	0
V210	0.07862	0	0.07918	0	0.68669	0	0	0.1555	0	0
V211	0.071	0.05253	0.70857	0	0	0.01267	0.03778	0.05379	0.06367	0
V212	0.10984	0.07433	0.00797	0.00735	0	0	0	0.44378	0.35673	0
V213	0.12223	0	0	0.00306	0.15693	0.64995	0.03751	0.01961	0	0.01071
V214	0.0078	0.0919	0	0	0.29218	0.14021	0.37004	0.02553	0.01629	0.05605
V215	0	0.12217	0	0	0	0.1739	0.60538	0.0407	0.05785	0
V216	0.01666	0.53025	0.01974	0	0.42292	0	0	0.01042	0	0
V217	0.03207	0.15997	0.0563	0.08972	0.26674	0.25776	0.00545	0.06794	0	0.06406
V218	0.02744	0.03178	0	0	0	0.68727	0.18713	0.02476	0.0054	0.03622
V219	0.01958	0	0	0.09441	0	0	0.00081	0.8852	0	0
V220	0.01454	0.04441	0.00409	0.40579	0	0.00509	0	0.07632	0.44976	0
V221	0.1911	0.08933	0.34738	0	0.02174	0	0.00843	0.10948	0.1862	0.04634
V222	0.07731	0	0.75665	0	0	0.16604	0	0	0	0
V223	0.07157	0	0.80012	0	0	0.08591	0.04223	0.00018	0	0
V224	0.0623	0	0.69995	0	0	0	0	0.09623	0.14152	0
V225	0.03266	0	0.32126	0.34683	0	0.00663	0	0.29262	0	0
V226	0.02732	0.57772	0.00715	0	0.20001	0	0	0.1878	0	0
V227	0.06993	0	0.70939	0	0.22067	0	0	0	0	0
V228	0.04436	0.49869	0.08633	0	0.16806	0	0	0.19458	0.00799	0
V229	0.67185	0	0	0	0	0.28235	0.01617	0.02963	0	0
V230	3e-05	0.04962	0.03177	0.44713	0.02871	0.03616	0.09004	0.01458	0.01461	0.28734
V231	0.03988	0.22664	0.02168	0.01411	0.04588	0.09133	0.0071	0.00754	0.54585	0
V232	0.06328	0.2893	0.46394	0	0.08791	0	0	0.09556	0	0
V233	0.01944	0.01229	0.02959	0.02612	0.67569	0.00747	0	0	0.22939	0
V234	0.03303	0.03273	0.01125	0.00572	0.20377	0.02375	0.13638	0.55337	0	0
V235	0.06235	0	0.40251	0	0	0	0	0.53514	0	0
V236	0.02032	0.01567	0.22434	0.27606	0	0.4117	0.02628	0.0121	0.01353	0
V237	0.06601	0.00537	0.45795	0.10452	0.29422	0.03248	0	0.03944	0	0
V238	0.05174	0.01393	0.33533	0	0	0	0	0.599	0	0
V239	0.02774	0.15471	0.01016	0.59017	0.0701	0.04251	0.02796	0.00979	0	0.06686
V240	0.0625	0.07367	0	0	0	0.39115	0.39235	0.03321	0.03317	0.01395
V241	0.18734	0.02288	0	0.69992	0	0.04886	0.00065	0.04036	0	0
V242	0.03107	0.04554	0.02203	0.05373	0	0.00765	0.00333	0	0.83666	0
V243	0.02511	0.04856	0.02283	0.14672	0	0.07952	0.0397	0.00026	0.58828	0.04903
V244	0.05897	0.04748	0.37067	0	0	0.08714	0.32374	0.07896	0.03304	0
V245	0.18251	0.10745	0.16021	0	0.00861	0.48266	0.02207	0.03649	0	0
V246	0.00241	0.30227	0	0	0	0.1232	0.46526	0.03416	0.0727	0
V247	0.0816	0	0.9184	0	0	0	0	0	0	0
V248	0.54813	0.06732	0	0	0	0.03764	0.09931	0.24761	0	0
V249	0.08184	0	0.76333	0	0.0875	0	0	0	0.00796	0.05937
V250	0.01989	0.04654	0	0.34808	0	0.27248	0.01264	0.29502	0	0.00535
V251	0.63368	0.14163	0	0	0.11189	0	0	0.08183	0.03096	0
V252	0.07233	0.43026	0.0117	0.03659	0.12376	0.23907	0.01009	0.07619	0	0
V253	0.04083	0.01848	0.32665	0	0	0.07536	0.00678	0	0.53189	0
V254	0.01705	0	0.04211	0.03533	0.87441	0.00365	0	0	0	0.02744
V255	0.01998	0	0.01369	0	0.96632	0	0	0	0	0
V256	0.00131	0.0414	0	0.87093	0	0.06507	0.00748	0.01381	0	0
V257	0.43954	0	0.40484	0	0	0.1485	0.00711	0	0	0
V258	0.01559	0	0.02975	0	0.87494	0	0	0	0	0.07972
V259	0.08289	0	0	0.12219	0.12127	0	0	0.67365	0	0
V260	0.02978	0.13456	0.00568	0.02268	0.01628	0	0	0.79102	0	0
V261	0.2033	0.0621	0	0	0	0.36901	0.26278	0.02262	0.07751	0.00268
V262	0.01601	0.36432	0.10376	0	0.12273	0.33902	0.01174	0.02289	0	0.01953
V263	0.45935	0.35905	0	0	0.12927	0.00914	0.02645	0	0	0.01673
V264	0.02029	0.02918	0.00278	0.62588	0.26565	0.03623	0.01449	0.0055	0	0
V265	0.02724	0.29229	0.0201	0.33195	0.07	0.05812	0.10665	0.01328	0	0.08036
V266	0.03543	0.58699	0.12498	0	0.19114	0	0.00014	0.02919	0.03213	0
V267	1e-04	0.19978	0.07627	0.00744	0.1803	0	0	0.00024	0	0.53588
V268	0.01654	0.2379	0.04023	0.13309	0.54689	0.00362	0.00399	0.01767	0	8e-05
V269	0.04281	0.02234	0.24396	0.64369	0	0.01652	0.00154	0.02147	0.00767	0
V270	0.04025	0	0.01285	0	0.9469	0	0	0	0	0
V271	0.05499	0.051	0.17372	0	0.01286	0.0097	0.0208	0	0.67693	0
V272	0.03145	0.15818	0.08675	0.00084	0.04826	0.14979	0.01522	0.23824	0.22141	0.04986
V273	0.00571	0.00932	0.00212	0.23674	0.05462	0.64292	0.03411	0.01446	0	0
V274	0.08683	0.02325	0.12308	0.0023	0.09364	0.16504	0.0031	0.07212	0.01075	0.41989
V275	0.01424	0.0755	0.03225	0	0.70108	0.04899	0	0	0	0.12795
V276	0.01991	0.13587	0.01195	0.45575	0.05606	0.03288	0.09519	0.03388	0.11129	0.04724
V277	0.05257	0.18636	0.48327	0.22586	0.03672	0.00135	0	0.01387	0	0
V278	0.13338	0.03798	0.09729	0	0.1311	0	0	0	0	0.60025
V279	0.01996	0.17043	0.00918	0.31024	0.24892	0.06186	0.16508	0.01434	0	0
V280	0.10188	0.05219	0.01322	0.06195	0.11867	0.3085	0.20939	0.12961	0.00282	0.00178
V281	0.00469	0.03391	0.0219	0.00516	0.03122	0.7382	0.04961	0.02621	0	0.08909
V282	0.00343	0.04378	0	0.86731	0	0.02076	0.00444	0.04576	0.01453	0
V283	0.08545	0.01216	0.04655	0.05837	0.50773	0.0408	0	0.02321	0.22572	0
V284	0.01916	0.01181	0.29266	0	0.11281	0	0	0.00803	0	0.55554
V285	0.0232	0.13158	0.0431	0	0.07977	0	0.02292	0.40099	0	0.29845
V286	0.02463	0.00312	0.09061	0.0373	0.05858	0.46829	0.02523	0.00876	0	0.28348
V287	0.0236	0.09552	0.01397	0	0.02494	0.10682	0.35202	0.02746	0.03249	0.32318
V288	0.0329	0	0.01365	0.02366	0	0.22212	0	0.70767	0	0
V289	0.06807	0.13047	0.69421	0	0.10384	0	0	0.00138	0	0.00204
V290	0.01298	0.08219	0.14251	0	0	0.3234	0.37441	0.04212	0.02238	0
V291	0.84586	0	0.04012	0.03218	0	0.07299	0.00421	0.00464	0	0
V292	0.06084	0	0.54191	0	0	0.3837	0.01158	0.00197	0	0
V293	0.09907	0	0.8573	0	0	0	0	0.04364	0	0
V294	0.06231	0.22321	0.18563	0	0.04105	0.00817	0.04644	0.01036	0.42282	0
V295	0.08274	0.03829	0.75046	0	0	0.01291	0	0.08411	0	0.03148
V296	0.02312	0.0407	0.08868	0.1551	0.2599	0.00994	0.00745	0.12239	0.29271	0
V297	0.23658	0.06951	0.03184	0	0.16573	0	0.03887	0.01189	0	0.44556
V298	0.00517	0.04352	0.02753	0.84364	0	0.03264	0.01567	0.02488	0.00694	0
V299	0.33189	0	0	0	0.10727	0.52703	0.01788	0.00465	0	0.01128
V300	0.0224	0.00154	0.00783	0.27235	0.16452	0	0	0.53135	0	0
V301	0.02296	0	0	0.0408	0	0	0	0.93624	0	0
V302	0.24165	0	0.07768	0	0	0	0	0.68067	0	0
V303	0.02017	0.44332	0.12558	0	0.13827	0.26211	0.00933	0.00123	0	0
V304	0.12822	0	0	0.01285	0	0	0	0.85892	0	0
V305	0.06681	0	0.4125	0	0.41652	0.06117	0	0.00074	0	0.04226
V306	0.00102	0.02127	0	0.37867	0	0.46124	0.0339	0.08006	0.02385	0
V307	0.01955	0.09275	0.0231	0	0.8646	0	0	0	0	0
V308	0.0143	0.66608	0.04236	0.00577	0.21916	0.01623	0.00689	0.02922	0	0
V309	0.01934	0.13836	0.02616	0	0.81614	0	0	0	0	0
V310	0.25806	0.02807	0.01341	0	0.56366	0.02131	0	0.08604	0	0.02944
V311	0.93417	0	0	0	0	0	0	0.06583	0	0
V312	0.02612	0.0237	0.16629	0	0.08393	0	0	0.2269	0.00441	0.46866
V313	0.00887	0	0	0.01039	0	0.48811	0.01225	0.44493	0	0.03545
V314	0.13572	0.26814	0.21493	0.00344	0.35873	0.01904	0	0	0	0
V315	0.05618	0.049	0.47951	0	0	0.07832	0.29224	0.01792	0.02681	0
V316	0.01071	0	0	0.0012	0	0.77687	0.03864	0.15877	0	0.01381
